isolate_code,New_labeling,source,Had_a_partner?,Glycerol_Foud,Morphology (Sohini),Mariale (found),Morphology (Mariale),Re-purification (Only P/R plates),Re-purification date,TY,TY date,Glycerol,Glycerol date,DNA pellet,DNA pellet date,DNA extraction,DNA extraction date,Quantity DNA,260/280,260/230,Replaced Glycerol/DNA pellet,Sample vol,Total DNA ,Amount of DNA in 20ul,Qubit reading (initial),Volume after speedvac,ng/ul,Half concentration. Read bottom,ng/ul ,Summary concenration (ng/ul),Used for inoculation,Total DNA,Strain Code,Strain,Var_origin
P10_E12,AVT_ON_01,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo),12/6/22,yes,12/8/22,yes,12/8/22,,1/26/23,39.6,1.97,2.09,,50,1980,792,,23,64.4,,,64.4,Yes,1481.2,_01,001,O
P10_E2,AVT_ON_02,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,12/12/22,16.8,2.08,1.98,,100,1680,336,10.2,35,33.2,,,33.2,Yes,1162,_02,002,O
P10_A10,AVT_ON_03,O_N_YMB_D5,no,yes,P/R,,,"Yes (rhizo, partner)",12/1/22,"Yes(partner, rhizo)","12/5/2022, 12/8/22",yes,12/11/22,yes,12/11/22,,12/12/22,24.3,2,2.1,,100,2430,486,16.4,38,40.2,,,40.2,Yes,1527.6,_03,003,O
P10_A5,AVT_ON_04,O_N_YMB_D5,yes,yes,P/R,,,"Yes (rhizo, partner)",11/30/22,Yes (rhizo),12/10/22,yes,12/14/22,yes,12/14/22,,,29.5,1.93,1.43,,100,2950,590,20.8,39,50.4,,,50.4,Yes,1965.6,_04,004,O
P10_A6,AVT_ON_05,O_N_YMB_D5,yes,yes,Overgrown,yes,,,,Yes (rhizo),12/7/22,yes,12/11/22,yes,12/11/22,,12/12/22,26.3,1.95,2.04,,100,2630,526,36.6,33,42.8,,,42.8,Yes,1412.4,_05,005,O
P10_A7,AVT_ON_06,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo),12/6/22,yes,12/11/22,yes,12/11/22,,12/12/22,20.5,1.95,1.73,,100,2050,410,17.7,30,58.2,,,58.2,Yes,1746,_06,006,O
P10_B5,AVT_ON_07,O_N_YMB_D5,no,yes,Overgrown,yes,P/R,"Yes (rhizo, partner)",12/8/22,,,yes ,1/12/23,yes ,1/12/23,,1/15/23,21.2,1.86,1.4,,100,2120,424,12.5,31,51.2,,,51.2,Yes,1587.2,_07,007,O
P10_B9,AVT_ON_08,O_N_YMB_D5,yes,yes,P/R  (Overgrown),yes,P/R,"Yes (rhizo, partner), rhizo again","12/8/2022, 12/17/2022",,,yes,1/3/23,yes ,1/3/23,,1/15/23,23.2,1.88,1.48,,100,2320,464,25.2,34,68.6,,,68.6,Yes,2332.4,_08,008,O
P10_C3,AVT_ON_09,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo),12/7/22,yes,12/11/22,yes,12/11/22,,7/12/22,19.5,2.03,1.85,,50,975,390,,34,30.2,,,30.2,Yes,1026.8,_09,009,O
P10_C4,AVT_ON_10,O_N_YMB_D5,no,yes,Overgrown,yes,P/R,"Yes (rhizo, partner)",12/7/22,Yes (rhizo) ,12/12/22,yes,12/14/22,yes,12/14/22,,7/12/22,66.8,1.97,2.06,,100,6680,1336,16.6,26,38.6,,,38.6,Yes,1003.6,_10,010,O
P10_C6,AVT_ON_11,O_N_YMB_D5,no,yes,,,,"Yes (rhizo, partner)",11/30/22,Yes (rhizo),12/5/22,yes,12/7/22,Yes,12/7/22,,7/12/22,57.9,1.98,2.13,,100,5790,1158,46.4,22,too high,,,too high,Yes,#VALUE!,_11,011,O
P10_D1,AVT_ON_12,O_N_YMB_D5,yes,yes,Overgrown,yes,,,,yes,11/30/22,yes (only2),12/5/22,Yes,12/5/22,,#REF!,22.8,1.94,1.56,,50,1140,456,,19,34.6,,,34.6,Yes,657.4,_12,012,O
P10_D11,AVT_ON_13,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo) ,12/10/22,yes,12/14/22,yes,12/14/22,,1/15/23,36.8,1.94,1.86,,100,3680,736,17,37,,34.6,69.2,69.2,Yes,2560.4,_13,013,O
P10_D5,AVT_ON_14,O_N_YMB_D5,no,yes,Overgrown,yes,,,,Yes (rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,#REF!,35.2,1.86,1.26,,100,3520,704,23.8,33,,37.6,75.2,75.2,Yes,2481.6,_14,014,O
P10_D7,AVT_ON_15,O_N_YMB_D5,yes,yes,Overgrown,yes,Good,,,Yes (rhizo),12/6/22,yes ,2/25/23,yes ,2/25/23,,#REF!,38,1.93,2.28,,100,3800,760,27.6,33,,too high,#VALUE!,too high,Yes,#VALUE!,_15,015,O
P10_D9,AVT_ON_16,O_N_YMB_D5,yes,yes,Overgrown,yes,Good,,,Yes (rhizo),12/6/22,yes ,2/25/23,yes ,2/25/23,,7/12/22,54.9,1.98,2.49,,100,5490,1098,42.6,24,,too high ,#VALUE!,too high,Yes,#VALUE!,_16,016,O
P10_E10,AVT_ON_17,O_N_YMB_D5,no,yes,Overgrown,yes,Good,,,Yes (rhizo),12/8/22,yes,12/11/22,yes,12/11/22,,12/12/22,25.1,1.93,1.53,,100,2510,502,19.6,32,,25.4,50.8,50.8,Yes,1625.6,_17,017,O
P10_E11,AVT_ON_18,O_N_YMB_D5,no,yes,Overgrown,yes,P/R,"Yes(rhizo,partner)",12/6/22,yes (rhizo),12/9/22,yes,12/12/22,yes,12/12/22,,12/12/22,37.4,1.98,2,,100,3740,748,35,26,,55,110,110,Yes,2860,_18,018,O
P10_E5,AVT_ON_19,O_N_YMB_D5,yes,yes,Overgrown,yes,Good,,,yes,12/8/22,yes,12/11/22,yes,12/11/22,,12/12/22,17.1,2,1.92,,100,1710,342,12.8,34,,16,32,32,Yes,1088,_19,019,O
P10_E6,AVT_ON_20,O_N_YMB_D5,no,yes,P/R,,,Yes (rhizo),,,,yes,1/27/23,yes ,1/27/23,,3/22/23,26.3,1.3,1.3,,50,1315,526,,70,,16,32,32,Yes,2240,_20,020,O
P10_E9,AVT_ON_21,O_N_YMB_D5,no,yes,Overgrown,yes,P/R,Yes (rhizo),12/9/22,,,yes,1/28/23,yes ,1/28/23,,3/23/23,41.9,1.81,1.39,,50,2095,838,,19,,26.6,53.2,53.2,Yes,1010.8,_21,021,O
