Plant,Nodule,Ind.Label,Nodule.area,Nodule.lobes,dilution.counted,spot.1,spot.2,spot.3,spot.4,spot.5,spot.avg,Counted by,Comments,Lianas rhizobia released per nodule calculation,Morphology
001.O.a,1,001.O.a.1,0.023,2,  ,12,9,9,5,10,9,LTB,,#VALUE!,R
001.O.a,2,001.O.a.2,0.025,1,3,20,21,23,37,25,25.2,LTB,,126000,R
001.O.a,3,001.O.a.3,0.026,1,,,,,,,#DIV/0!,SG,No growth ,#DIV/0!,R
001.O.a,4,001.O.a.4,0.041,3,3,11,11,21,9,29,16.2,LTB,,81000,R
001.O.a,5,001.O.a.5,0.052,2,5,30,17,8,5,8,13.6,SG,,6800000,R
001.O.a,6,001.O.a.6,0.126,3,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.O.b,1,001.O.b.1,0.018,1,4,70,73,60,53,55,62.2,SG,,3110000,R
001.O.b,2,001.O.b.2,0.024,2,5,17,15,14,20,17,16.6,,NEED TO CHECK,8300000,R
001.O.b,3,001.O.b.3,0.026,1,4,72,68,75,73,45,66.6,SG,,3330000,R
001.O.b,4,001.O.b.4,0.063,2,6,2,10,16,4,5,7.4,SG,,37000000,R
001.O.b,5,001.O.b.5,0.054,2,6,8,1,2,7,4,4.4,SG,,22000000,R
001.O.b,6,001.O.b.6,0.115,More than 5,5,17,8,27,13,13,15.6,SG,,7800000,R
001.O.c,1,001.O.c.1,0.005,1,2,14,11,12,20,14,14.2,SG,,7100,R
001.O.c,2,001.O.c.2,0.017,1,5,13,8,3,7,3,6.8,SG,,3400000,R
001.O.c,3,001.O.c.3,0.025,1,,,,,,,#DIV/0!,,CONTA;NO RHIZOBIA,#DIV/0!,R
001.O.c,4,001.O.c.4,0.028,1,5,14,14,5,9,6,9.6,SG,0,4800000,R
001.O.c,5,001.O.c.5,0.046,3,5,41,2,13,13,12,16.2,SG,,8100000,R
001.O.c,6,001.O.c.6,0.114,More than 5,,,,,,,#DIV/0!,,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.a,1,001.S.a.1,0.009,1,3,45,40,55,19,33,38.4,LTB,,192000,R
001.S.a,2,001.S.a.2,0.019,1,3,27,17,20,28,21,22.6,LTB,,113000,R
001.S.a,3,001.S.a.3,0.043,3,4,97,111,125,84,60,95.4,SG,,4770000,R
001.S.a,4,001.S.a.4,0.054,3,6,3,1,5,1,0,2,SG,this plate had no colonies in the 5th dil,10000000,R
001.S.a,5,001.S.a.5,0.219,More than 5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.a,6,001.S.a.6,0.303,More than 5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.S.b,1,001.S.b.1,0.014,1,3,6,7,5,2,,5,SG,,25000,R
001.S.b,2,001.S.b.2,0.016,1,3,44,27,23,51,33,35.6,SG,,178000,R
001.S.b,3,001.S.b.3,0.034,1,4,68,64,62,80,74,69.6,SG,,3480000,R
001.S.b,4,001.S.b.4,0.044,3,5,17,23,36,11,22,21.8,SG,,10900000,R
001.S.b,5,001.S.b.5,0.085,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.S.b,6,001.S.b.6,0.107,More than 5,5,1,0,0,0,0,0.2,SG,NO GROWTH,100000,R
001.S.c,1,001.S.c.1,0.011,1,3,5,6,5,8,4,5.6,LTB,,28000,R
001.S.c,2,001.S.c.2,0.026,2,3,86,92,102,100,64,88.8,LTB,,444000,R
001.S.c,3,001.S.c.3,0.029,1,4,55,51,66,38,68,55.6,SG,,2780000,R
001.S.c,4,001.S.c.4,0.069,5,5,15,15,5,19,9,12.6,SG,,6300000,R
001.S.c,5,001.S.c.5,0.068,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.S.c,6,001.S.c.6,0.22,More than 5,,,,,,,#DIV/0!,SG,NO GROWTH,#DIV/0!,R
001.V.a,1,001.V.a.1,0.008,1,3,21,14,23,11,18,17.4,LTB,,87000,R
001.V.a,2,001.V.a.2,0.029,1,4,13,5,11,13,3,9,SG,,450000,R
001.V.a,3,001.V.a.3,0.036,1,4,29,59,24,24,22,31.6,SG,,1580000,R
001.V.a,4,001.V.a.4,0.054,3,5,24,16,18,21,28,21.4,SG,,10700000,R
001.V.a,5,001.V.a.5,0.056,3,6,11,6,9,9,5,8,SG,,40000000,R
001.V.a,6,001.V.a.6,0.126,5,,,,,,,#DIV/0!,SG,CONTA;NO RHIZOBIA,#DIV/0!,R
001.V.b,1,001.V.b.1,0.011,2,2,6,6,3,3,3,4.2,LTB,NO GROWTH,2100,R
001.V.b,2,001.V.b.2,0.017,1,4,60,39,45,36,35,43,SG,,2150000,R
001.V.b,3,001.V.b.3,0.025,1,4,49,56,50,28,0,36.6,SG,,1830000,R
001.V.b,4,001.V.b.4,0.051,1,5,15,9,9,15,5,10.6,SG,,5300000,R
001.V.b,5,001.V.b.5,0.069,3,5,0,2,2,4,2,2,SG,,1000000,R
001.V.b,6,001.V.b.6,0.092,More than 5,5,26,23,21,22,32,24.8,SG,,12400000,R
001.V.c,1,001.V.c.1,0.029,2,4,14,9,9,20,30,16.4,SG,,820000,R
001.V.c,2,001.V.c.2,0.025,1,3,78,87,80,93,80,83.6,LTB,,418000,R
001.V.c,3,001.V.c.3,0.054,3,4,37,23,26,30,10,25.2,SG,,1260000,R
001.V.c,4,001.V.c.4,0.063,3,5,49,15,32,5,22,24.6,SG,,12300000,R
001.V.c,5,001.V.c.5,0.073,5,5,35,29,23,25,3,23,SG,,11500000,R
001.V.c,6,001.V.c.6,0.066,5,6,13,2,2,22,7,9.2,SG,,46000000,R
012.O.a,1,012.O.a.1,0.01,1,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.O.a,2,012.O.a.2,0.013,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.a,3,012.O.a.3,0.022,1,,,,,,,#DIV/0!,,"Only one colony in dil3, try with dil2.",#DIV/0!,R
012.O.a,4,012.O.a.4,0.033,1,,,,,,,#DIV/0!,,No growth,#DIV/0!,R
012.O.a,5,012.O.a.5,0.045,1,,,,,,,#DIV/0!,SG,5-Merged;6-No growth,#DIV/0!,R
012.O.a,6,012.O.a.6,0.062,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,1,012.O.b.1,0.009,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,2,012.O.b.2,0.011,1,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.b,3,012.O.b.3,0.024,1,,,,,,,#DIV/0!,SG,"Merged;increase dil. Contaminated dil3, and dil4. I don't see any rhizo in dil4",#DIV/0!,R
012.O.b,4,012.O.b.4,0.025,1,,,,,,,#DIV/0!,SG,"Only one colony in dil5, try with dil 4",#DIV/0!,R
012.O.b,5,012.O.b.5,0.031,1,6,C,C,C,C,6,6,SG,"Merged;increase dil. Only one not contaminated spot in dil6, and has 6 colonies",30000000,R
012.O.b,6,012.O.b.6,0.055,3,,,,,,,#DIV/0!,SG,Merged;increase dil,#DIV/0!,R
012.O.c,1,012.O.c.1,0.01,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.O.c,2,012.O.c.2,0.01,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.O.c,3,012.O.c.3,0.026,1,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.O.c,4,012.O.c.4,0.032,1,5,1,2,1,2,2,1.6,MAG,,800000,R
012.O.c,5,012.O.c.5,0.041,2,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.O.c,6,012.O.c.6,0.056,3,,,,,,,#DIV/0!,,Conta.,#DIV/0!,R
012.S.a,1,012.S.a.1,0.007,1,,,,,,,#DIV/0!,,"Only a couple of colonies in dil4, but no in dil3. Go up one dil to dil3. ",#DIV/0!,R
012.S.a,2,012.S.a.2,0.019,1,5,2,10,10,8,5,7,SG,"Merged;increase dil,2nd attempt worked with 5",3500000,R
012.S.a,3,012.S.a.3,0.025,2,4,42,39,43,40,38,40.4,SG,,2020000,R
012.S.a,4,012.S.a.4,0.022,1,,,,,,,#DIV/0!,,,#DIV/0!,R
012.S.a,5,012.S.a.5,0.046,3,,,,,,,#DIV/0!,,"Contamination in dil5 and 6, I don't see any rhizo",#DIV/0!,R
