Strain	Morphology	Source_variety
AVT1	R	O
AVT10	R	O
AVT100	P	O
AVT101	P	O
AVT102	P	O
AVT103	P	O
AVT104	P	O
AVT105	P	O
AVT106	P	S
AVT107	P	S
AVT108	P	S
AVT109	P	S
AVT11	R	O
AVT110	P	S
AVT111	P	S
AVT112	P	S
AVT113	P	S
AVT114	P	S
AVT115	P	V
AVT116	P	V
AVT117	P	V
AVT118	P	V
AVT119	P	V
AVT12	R	O
AVT120	P	V
AVT121	P	V
AVT122	P	V
AVT123	P	V
AVT13	R	O
AVT14	R	O
AVT15	R	O
AVT16	R	O
AVT17	R	O
AVT18	R	O
AVT19	R	O
AVT2	R	O
AVT20	R	O
AVT21	R	O
AVT22	R	O
AVT23	R	O
AVT24	R	O
AVT25	R	O
AVT26	R	O
AVT28	R	O
AVT29	R	O
AVT3	R	O
AVT30	R	O
AVT31	R	S
AVT32	R	S
AVT33	R	S
AVT34	R	S
AVT35	R	S
AVT37	R	S
AVT38	R	S
AVT39	R	S
AVT4	R	O
AVT41	R	S
AVT42	R	S
AVT43	R	S
AVT44	R	S
AVT45	R	S
AVT46	R	S
AVT47	R	S
AVT48	R	S
AVT49	R	S
AVT5	R	O
AVT50	R	S
AVT52	R	S
AVT53	R	S
AVT54	R	S
AVT55	R	S
AVT56	R	S
AVT57	R	S
AVT58	R	S
AVT59	R	S
AVT6	R	O
AVT60	R	S
AVT62	R	V
AVT63	R	V
AVT64	R	V
AVT65	R	V
AVT67	R	V
AVT68	R	V
AVT69	R	V
AVT7	R	O
AVT70	R	V
AVT71	R	V
AVT72	R	V
AVT73	R	V
AVT74	R	V
AVT75	R	V
AVT76	R	V
AVT77	R	V
AVT78	R	V
AVT79	R	V
AVT8	R	O
AVT80	R	V
AVT81	R	V
AVT82	R	V
AVT83	R	V
AVT84	R	V
AVT85	R	V
AVT86	R	V
AVT87	R	V
AVT88	R	V
AVT89	R	V
AVT9	R	O
AVT90	R	V
AVT91	R	O
AVT92	R	S
AVT93	R	S
AVT94	R	S
AVT95	R	V
AVT96	R	V
AVT97	P	O
AVT98	P	O
AVT99	P	O
