Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
001,S,ON,a,001_S_a,15,A,15-A,4.697181289,26.8,47.6,45.1,2.5,30,14.24,30.4,0.3,0.324,8,12,EMB,R,
001,V,ON,a,001_V_a,18,C,18-C,4.472331003,14.7,43.3,33.3,9,42.7,10.18,28.6,0.362,0.679,18,34,EMB,R,
001,O,ON,a,001_O_a,19,C,19-C,1.054422454,1.6,9.2,15.7,18.2,21.9,4.93,13.32,0.033,0.108,8,22,EMB,R,
001,O,ON,b,001_O_b,38,B,38-B,2.789789281,9,10.5,34.6,33.1,37.1,8.92,24.86,0.145,0.259,11,19,EMB,R,
001,V,ON,b,001_V_b,50,I,50-I,0.361597498,34,41.6,43.2,7.2,47.2,8.84,34.64,0.094,0.187,11,22,EMB,R,
001,S,ON,b,001_S_b,63,E,63-E,5.365845599,50.3,3.5,8.4,37.4,38.7,20.5,27.66,0.37,0.649,26,26,EMB,R,
001,O,ON,c,001_O_c,95,C,95-C,9.717680537,50,40.4,48.3,14.7,7.1,6.94,32.1,0.469,0.395,46,11,SVG,R,
001,S,ON,c,001_S_c,102,A,102-A,3.716178989,28,29.1,13.9,31.1,30.2,2.42,26.46,0.299,0.467,23,33,EMB,R,
001,V,ON,c,001_V_c,107,F,107-F,4.178282642,22.7,49.4,48.3,41.4,46.3,3.77,41.62,0.284,0.366,52,8,LTB,R,
001,O,ON,d,001_O_d,115,C,115-C,3.501422357,33.3,28,36.4,9.2,37.6,5.56,28.9,0.245,0.537,13,16,ELP,R,
001,S,ON,d,001_S_d,116,C,116-C,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,
001,V,ON,d,001_V_d,120,C,120-C,3.400325642,8.1,29.8,26.5,32.1,35,4.95,26.3,0.373,0.444,16,21,ELP,R,
002,S,ON,a,002_S_a,4,F,4-F,3.778174851,42.4,46.3,16,33.5,45.8,5.26,36.8,0.331,0.519,12,19,AS,R,
002,O,ON,a,002_O_a,12,F,12-F,6.413947033,3.1,5,39.8,34.4,29.4,17.96,22.34,0.59,0.646,15,21,ELP,R,
002,V,ON,a,002_V_a,25,H,25-H,2.523357879,2,NA,27.1,29.7,30.3,11.94,22.275,0.206,0.317,6,5,EMB,R,
002,V,ON,b,002_V_b,39,H,39-H,2.124255044,14.8,41.7,23.2,18.6,15.2,5.78,22.7,0.158,0.346,9,4,EMB,R,
002,S,ON,b,002_S_b,64,F,64-F,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,R,DEAD
002,O,ON,b,002_O_b,66,J,66-J,3.057971225,25.8,29.8,NA,23.8,31.2,0.35,27.65,0.279,0.46,11,7,EMB,R,
002,O,ON,c,002_O_c,84,D,84-D,2.642237772,36.2,NA,NA,41.4,11.6,0.35,29.73333333,0.248,0.501,19,31,MAG,R,
002,V,ON,c,002_V_c,99,A,99-A,3.628401585,30.2,37.7,40.6,44.7,47.3,0.98,40.1,0.399,0.561,18,11,ELP,R,
002,S,ON,c,002_S_c,101,I,101-I,4.949916868,49.6,NA,51.9,40.1,62.4,0.83,51,0.218,0.444,27,64,MAG,R,
002,O,ON,d,002_O_d,111,D,111-D,2.991478793,7.2,54.3,26.3,41.2,51.5,12.71,36.1,0.299,0.569,14,10,ELP,R,
002,V,ON,d,002_V_d,118,J,118-J,2.656297729,37.4,8.7,45.1,41.7,26.1,8.34,31.8,0.262,0.417,11,20,ELP,R,
002,S,ON,d,002_S_d,137,I,137-I,2.683535797,,35.7,56.8,37.1,41.9,3.22,42.875,0.251,0.418,16,22,LTN,R,
003,V,ON,a,003_V_a,31,J,31-J,2.811026815,4.7,29.3,18.8,26,41,6.05,23.96,0.157,0.284,7,12,EMB,R,
003,O,ON,a,003_O_a,34,J,34-J,3.752323687,27.5,NA,,30.9,34.1,0.2,30.83333333,0.35,0.556,11,19,EMB,R,
003,S,ON,a,003_S_a,36,G,36-G,5.535429361,20.4,22.7,16.4,10.7,4.5,1.57,14.94,0.346,0.453,15,21,EMB,R,
003,S,ON,b,003_S_b,45,C,45-C,4.231332098,5.7,39.7,5.9,25.9,19.9,14.24,19.42,0.305,0.505,23,28,JEH,R,
