"","dataset","model","Term","Df","Prop.Var","Fstat","Pvalue"
"1","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Nodule.lobes",3,0.636,157.71,4.14363323205485e-48
"2","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Host",2,0.001,0.5,0.606926893191119
"3","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Strain",7,0.037,3.9,0.000589139475145234
"4","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","rep",3,0.014,3.55,0.0158470353574388
"5","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Nodule.lobes:Host",6,0.009,1.09,0.368748653049827
"6","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Nodule.lobes:Strain",20,0.027,1.01,0.454648412680686
"7","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Host:Strain",14,0.023,1.22,0.265626990182736
"8","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Nodule.lobes:Host:Strain",28,0.032,0.85,0.687432290053973
"9","cfu_df","log10(Nodule.area)~Nodule.lobes*Host*Strain+rep","Residuals",164,0.221,NA,NA
"10","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","as.factor(Nodule.lobes)",3,0.183,19.07,4.65132434169155e-11
"11","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","Host",2,0.041,6.39,0.00198988455143537
"12","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","as.factor(Strain)",7,0.026,1.14,0.337487706251707
"13","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","rep",3,0.013,1.39,0.245869552502732
"14","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","as.factor(Nodule.lobes):Host",6,0.016,0.86,0.527769415641349
"15","cfu_df","log10(rhz_released)~as.factor(Nodule.lobes)*Host+as.factor(Strain)+rep","Residuals",226,0.721,NA,NA
"16","str.host_mean_df","mean_nod_num~mean_prop_lobe*Variety+Strain","mean_prop_lobe",1,0.121,80.92,7.89267202693041e-17
"17","str.host_mean_df","mean_nod_num~mean_prop_lobe*Variety+Strain","Variety",2,0.08,26.85,3.10688155665563e-11
"18","str.host_mean_df","mean_nod_num~mean_prop_lobe*Variety+Strain","Strain",121,0.443,2.45,2.27492822911458e-09
"19","str.host_mean_df","mean_nod_num~mean_prop_lobe*Variety+Strain","mean_prop_lobe:Variety",2,0.002,0.67,0.51233215371421
"20","str.host_mean_df","mean_nod_num~mean_prop_lobe*Variety+Strain","Residuals",236,0.353,NA,NA
"21","str.host_mean_df","mean_biomass_g~mean_prop_lobe*Variety+Strain","mean_prop_lobe",1,0.154,118.82,1.12661285548116e-22
"22","str.host_mean_df","mean_biomass_g~mean_prop_lobe*Variety+Strain","Variety",2,0.144,55.51,1.75070097532381e-20
"23","str.host_mean_df","mean_biomass_g~mean_prop_lobe*Variety+Strain","Strain",121,0.391,2.49,1.26519674655354e-09
"24","str.host_mean_df","mean_biomass_g~mean_prop_lobe*Variety+Strain","mean_prop_lobe:Variety",2,0.005,1.75,0.175402941201286
"25","str.host_mean_df","mean_biomass_g~mean_prop_lobe*Variety+Strain","Residuals",236,0.306,NA,NA
"26","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Nodule.area",1,0.248,112.01,1.49503241625734e-21
"27","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Nodule.lobes",3,0.013,1.95,0.121765904256
"28","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Host",2,0.032,7.13,0.000994477065817041
"29","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Strain",7,0.025,1.59,0.139211114474745
"30","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","rep",3,0.006,0.96,0.412636057770883
"31","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Nodule.area:Nodule.lobes",3,0.171,25.73,2.24726831275618e-14
"32","rhztestarea","log10(rhz_released)~Nodule.area*Nodule.lobes+Host+Strain+rep","Residuals",228,0.505,NA,NA
