"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.551128568402717,0.112722910632655,4.88923294572079,1.90523792483196e-06
"mean_prop_lobe",0.142854698380701,0.14588455145171,0.979231158879687,0.328499136026746
"VarietyS",0.0548687424485619,0.069599111783906,0.788354061455848,0.43130495871463
"VarietyV",0.00783799087924083,0.0734809697550963,0.106666949352519,0.915146588536384
"Strain002",0.193642112519315,0.13134347384068,1.47431849377003,0.14176924380582
"Strain003",0.0023530323412409,0.131343723851068,0.0179150725459028,0.985722203705077
"Strain004",-0.128189541878979,0.132257004810802,-0.969245765563485,0.333445152661405
"Strain005",0.0438602941802964,0.131976970152786,0.332332937553579,0.739941870496394
"Strain006",-0.0974837188713097,0.132135148475419,-0.737757667025625,0.461417024594892
"Strain007",0.0905295098154163,0.131933191730509,0.686176909904027,0.493295699908733
"Strain008",0.0954616690215569,0.131404976582116,0.726469206148384,0.468293077183033
"Strain009",0.0295929171461674,0.131789586048014,0.22454670382974,0.822532155337226
"Strain010",0.00792017869175648,0.131734886863947,0.0601221049359255,0.9521108196843
"Strain011",-0.00768098591766931,0.132014147174448,-0.0581830514537158,0.953653558994439
"Strain012",-0.0689616855515268,0.134214320828424,-0.513817639770985,0.607874917401494
"Strain013",0.0718285550442309,0.131892120269835,0.544600806305019,0.586558025511787
"Strain014",0.0371175608399729,0.132583663083739,0.2799557651121,0.779764158267933
"Strain015",-0.0845577425737614,0.132016057811845,-0.64051104066656,0.522480803733304
"Strain016",-0.120550131919005,0.132906986482512,-0.907026297935561,0.365346324284647
"Strain017",-0.010027848578117,0.131388093717378,-0.076322353832817,0.939229278790187
"Strain018",-0.00278457676736173,0.132299214035704,-0.0210475684807187,0.983226037447458
"Strain019",-0.113191103802696,0.135037867095929,-0.838217503259935,0.402782598738471
"Strain020",-0.0479494799850108,0.131603760950704,-0.364347338089917,0.715934858815891
"Strain021",-0.110370277625171,0.131361481424709,-0.840202747625304,0.401671080216266
"Strain022",-0.0200351551689401,0.131918602146806,-0.151875132414183,0.879419138381123
"Strain023",0.0627370958243215,0.131432727443859,0.477332374093199,0.633580705698073
"Strain024",0.136630400484738,0.131733837597011,1.03717012255201,0.300750505688584
"Strain025",-0.1188073721616,0.13265075363143,-0.895640385818737,0.371385334020694
"Strain026",0.142064129424736,0.131801804877177,1.07786179071768,0.282229524767001
"Strain028",-0.0938713129417422,0.13203991306394,-0.710931344647926,0.477850242023086
"Strain029",-0.103158433513749,0.133268150478466,-0.774066670418884,0.439689766037389
"Strain030",0.119690386291885,0.131681958918775,0.908935341444253,0.364339855372192
"Strain031",0.134004947008952,0.131919281054975,1.01581016768207,0.310791820308169
"Strain032",0.157389334763443,0.132083680466324,1.19158804636407,0.234656290479337
"Strain033",-0.0598134907736365,0.132909064415864,-0.450033194022672,0.65311222613415
"Strain034",0.163733022120562,0.131360341801425,1.24644180941668,0.213875743695536
"Strain035",0.094793918282444,0.133457763749913,0.710291523092493,0.478246077468479
"Strain037",0.228223724220151,0.132365624115992,1.72419180390944,0.0860226971403742
"Strain038",0.0867575737726357,0.131420170760543,0.660154170174641,0.509818345621141
"Strain039",0.38165056383459,0.132027454896249,2.89069091072384,0.00421357980719569
"Strain041",0.0608347150015647,0.131460572357785,0.462760156223846,0.643975719210955
"Strain042",-0.0116882507601183,0.131761914533481,-0.0887073537258621,0.929392016384085
"Strain043",0.0591566479121413,0.13130244634119,0.450537286703878,0.652749335671788
"Strain044",0.0690445734405553,0.131550122357247,0.524853737901153,0.600192603214018
"Strain045",0.013896560189174,0.131338071067476,0.105807555084577,0.915827666673794
"Strain046",-0.00802822322484686,0.1315121214833,-0.0610455000976187,0.951376216120404
"Strain047",-0.0237183803061974,0.131397970498268,-0.180507965353316,0.856913443493819
"Strain048",0.267361383365038,0.131876745522926,2.02735806305258,0.0437843410980693
"Strain049",0.107229227625464,0.131510794586614,0.815364457058637,0.415710938337217
