"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.508315070217238,0.105366826712078,4.82424199417376,2.56501048041747e-06
"mean_nod_num",0.0030860700210847,0.00127385565409777,2.42262144157178,0.0161862019533871
"VarietyS",0.12690316499851,0.0702903029950093,1.80541496609455,0.0723230854216982
"VarietyV",-0.00263824827704733,0.0694887316359144,-0.037966562562552,0.969747418523684
"Strain002",0.231856169627669,0.130196618303401,1.78081560526686,0.0762681741026042
"Strain003",0.0395265787115819,0.130337061213878,0.303264308274683,0.761963771572444
"Strain004",-0.145367867257637,0.129852672816099,-1.11948305803078,0.264106925403096
"Strain005",0.0430150935940848,0.129771991319195,0.331466699068232,0.740595127885462
"Strain006",-0.0889708756737799,0.13026419028141,-0.683003329476627,0.495295130742814
"Strain007",0.0324388009935669,0.129749070326604,0.250011818288269,0.802802346292894
"Strain008",0.104145334488756,0.129988233565241,0.801190474186153,0.42385188618372
"Strain009",0.0720794291778814,0.130155570178415,0.553794425233406,0.580259873626064
"Strain010",-0.0218311613025455,0.129682810807691,-0.168342752339933,0.866462228444838
"Strain011",0.0195910633104099,0.130200265014881,0.150468689969032,0.880527302275363
"Strain012",-0.186721700875996,0.130473790265047,-1.43110505563367,0.153763345819041
"Strain013",0.0280650343552869,0.131394289189626,0.213594019408134,0.831053708149678
"Strain014",-0.0587481097856449,0.130378701548595,-0.450595910895371,0.65270713816402
"Strain015",-0.111552824302238,0.130146604356177,-0.857132038550522,0.392268013768225
"Strain016",-0.168520759511225,0.129684977949805,-1.29946245259379,0.195091924665263
"Strain017",0.00477904807092188,0.129699149918674,0.0368471811412683,0.970638954431641
"Strain018",-0.0485453659196292,0.129971791300204,-0.373506938959555,0.709116723386178
"Strain019",-0.227375179332921,0.130200567816641,-1.7463455278715,0.0820918084050554
"Strain020",-0.0333633530249212,0.129951775902982,-0.256736414666848,0.797612769194066
"Strain021",-0.0831659454150768,0.130067603906561,-0.639405531563586,0.52319824732887
"Strain022",0.0109762973711812,0.129741340568273,0.0846013870606277,0.932652210128334
"Strain023",0.0678568685127956,0.129839062548811,0.522622908551007,0.60174193359615
"Strain024",0.134906308424036,0.130082713425833,1.03708098386918,0.300791952532247
"Strain025",-0.191266513783586,0.13058896656917,-1.46464528212862,0.144389204653683
"Strain026",0.199377649443216,0.130280429723975,1.5303729797763,0.127304625274184
"Strain028",-0.131319027514072,0.129787745412253,-1.01179835659334,0.312702331672566
"Strain029",-0.172759352817609,0.130258453409869,-1.32628131453402,0.186067760633342
"Strain030",0.0807642303543976,0.130100524185488,0.620783281697232,0.535359582477068
"Strain031",0.0839833856202458,0.130133758330143,0.645362023643276,0.519338680921496
"Strain032",0.019187870241846,0.132427096016482,0.144893838338476,0.884922134708588
"Strain033",-0.188848904126,0.131234531628626,-1.43901838778542,0.151510726510747
"Strain034",0.177625130063229,0.129688188280196,1.3696322881731,0.172143252211347
"Strain035",-0.0458706487256275,0.131275541987149,-0.349422657345555,0.727093133395826
"Strain037",0.129800589582625,0.130357537115348,0.995727538698197,0.320433516395254
"Strain038",0.0861836015341511,0.129644417322879,0.664769091595445,0.50686707353709
"Strain039",0.261729643688125,0.131262412627721,1.99394204668802,0.0473445509094603
"Strain041",0.0747989945802591,0.13019490648021,0.574515521401206,0.566182937306709
"Strain042",-0.0177753508468601,0.130015351728375,-0.136717323074247,0.891374354955785
"Strain043",0.0713174053901881,0.129759068904992,0.549614034626017,0.58311972388399
"Strain044",0.0640835587350941,0.129860864258331,0.493478609595677,0.622147376451987
"Strain045",0.0287016290454418,0.129984731735471,0.220807695351879,0.825438914349475
"Strain046",-0.0399301900515225,0.129690215935017,-0.307888993503798,0.758446654710376
"Strain047",-0.0308122947217465,0.130150967657951,-0.236742724823407,0.813068021483504
"Strain048",0.261836188961739,0.12974269700679,2.01811889996426,0.0447451781279149
"Strain049",0.128749716385928,0.129782751396667,0.992040275000941,0.32222493714029
"Strain050",0.0300287446215543,0.130098668491255,0.230815157217177,0.817664484749737
"Strain052",0.153453477680976,0.130568488760466,1.17527191390332,0.241106461241824
"Strain053",0.1126432463226,0.130580267934187,0.862636048345167,0.389240090545222
"Strain054",-0.179015777512374,0.132507073766055,-1.35099034658656,0.178031826886162
"Strain055",0.0985434472993039,0.130398464346402,0.755710182579483,0.450599597788913
