"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.535915034898861,0.0804184537032356,6.66408032261504,4.47105786126948e-11
"prop_lobe",0.194440654445467,0.0701573182986788,2.77149496532465,0.00568726494475675
"VarietyS",0.119320259994836,0.0430382359369065,2.77242450572923,0.00567117798611728
"VarietyV",0.0258648975268151,0.0405785732268856,0.637402832825037,0.524013678243846
"Strain002",0.194325918990062,0.124879597840063,1.55610622032064,0.120010716243341
"Strain003",-0.00747247473264277,0.104894740993392,-0.0712378395892463,0.943223226844054
"Strain004",-0.00827320138184672,0.110744017209261,-0.0747056282617391,0.94046441246906
"Strain005",0.0114679353523641,0.110802303686758,0.103499069701514,0.917588392522105
"Strain006",-0.0925831538120694,0.10769792644079,-0.85965586220427,0.390192275397168
"Strain007",0.0869082833901015,0.107642158289614,0.807381464391232,0.419645699895651
"Strain008",0.0658235088532897,0.10751258261816,0.61224004902819,0.540523177096063
"Strain009",0.034018524006339,0.114426632012626,0.297295510739016,0.766304892611567
"Strain010",0.0397272242993647,0.114370830730745,0.34735451378238,0.728400742929815
"Strain011",-0.0142495630049962,0.114507445036435,-0.124442240419059,0.900991046643349
"Strain012",-0.125850272237012,0.108127879890699,-1.16390215330429,0.244751350874921
"Strain013",0.103102593458407,0.107700455130893,0.9573087999777,0.338651181438863
"Strain014",0.0317669000170197,0.105205975802484,0.301949578193729,0.762755561887695
"Strain015",-0.0890392706061492,0.105066907485355,-0.847453044323782,0.396952778407586
"Strain016",-0.124737131567687,0.10786334655117,-1.1564366910173,0.247788785229265
"Strain017",-0.00900876107273489,0.110569410173498,-0.0814760706292904,0.935080249470434
"Strain018",-0.000319453831191432,0.114544286969878,-0.00278891108096416,0.997775350203383
"Strain019",-0.115164229502702,0.10840487952391,-1.06235282035714,0.288341326228588
"Strain020",-0.058975680497417,0.110639353920327,-0.533044331946172,0.594125624198189
"Strain021",-0.110383408454376,0.107476340325798,-1.0270484473119,0.304655018169969
"Strain022",-0.052194115427057,0.107632912336266,-0.484927094270127,0.627838119457228
"Strain023",0.0562601704900617,0.107484732110442,0.523424763549241,0.600798867157661
"Strain024",0.129069975880362,0.11440930371065,1.12814230743673,0.259540222562071
"Strain025",-0.121018283961833,0.114602744967322,-1.05598067477651,0.291241335088808
"Strain026",0.127433958385512,0.119101802318464,1.06995827019283,0.284905638828225
"Strain028",-0.0876821541536808,0.114511096036934,-0.76570880192606,0.444036828076435
"Strain029",-0.11616163603393,0.10801119221467,-1.07545925243619,0.282437976455402
"Strain030",0.0594683492767762,0.107550989430886,0.552931680047363,0.580438254234265
"Strain031",0.0842097791148168,0.110771804458778,0.760209509326485,0.447315050772801
"Strain032",0.159106038791008,0.10765585514824,1.4779134731866,0.139757235921321
"Strain033",-0.0566712567581132,0.107854331187788,-0.525442568082329,0.599396276091389
"Strain034",0.16690674732595,0.107486434098226,1.55281686220443,0.120794773680221
"Strain035",0.0958908086134784,0.105428957406423,0.90953008521012,0.363297490080586
"Strain037",0.248598233307021,0.110814693378259,2.243368868589,0.0250992289483956
"Strain038",0.094236487049236,0.104902604484234,0.898323616582834,0.369237124620671
"Strain039",0.275917587474386,0.119029277617396,2.31806487443608,0.0206541061674765
"Strain041",0.0556665375480266,0.110585193163532,0.503381474097602,0.61481097392691
"Strain042",-0.0233849397310235,0.114389519173723,-0.204432538050176,0.838058612669029
"Strain043",0.0617762888967213,0.107453159511164,0.574913657055406,0.565483701125261
"Strain044",0.0725432309473573,0.104931108016951,0.691341512715545,0.489517227983644
"Strain045",0.0311034890673646,0.107463992900255,0.289431727110997,0.772313189412943
"Strain046",0.00107571745906517,0.107515364191353,0.0100052440612176,0.992019171402229
"Strain047",-0.0335539516706765,0.104893578513068,-0.319885660746107,0.749124251440351
"Strain048",0.243841002790135,0.114434778550465,2.13082950724288,0.033355466624098
"Strain049",0.0716988479679141,0.11896595470618,0.60268375221293,0.546860691223021
"Strain050",0.0107427164800052,0.110714618537323,0.0970306958731353,0.922722165608095
"Strain052",0.219651305514581,0.107561479857614,2.0421000697029,0.0414130332102411
"Strain053",0.152955034825653,0.11452002035867,1.33561829928608,0.18198898968173
"Strain054",-0.0769033441009645,0.107769819841244,-0.713588871302293,0.475653981262716
"Strain055",0.083464174869165,0.104861176466953,0.795949251012536,0.426257283154739
"Strain056",0.0695406277705284,0.107623206719717,0.646149003454554,0.518336490015691
"Strain057",0.00038259994731846,0.110609512727417,0.00345901485219745,0.997240825867551
"Strain058",0.106193243760965,0.107514779168656,0.987708337235963,0.323543092673986
"Strain059",0.0500799203696031,0.110830079707519,0.451862170466395,0.65146982055098
"Strain060",-0.0949743018497976,0.105242201896537,-0.902435526227081,0.367050748104438
"Strain062",-0.138551938356077,0.110765795852758,-1.2508548987474,0.211290606771757
"Strain063",-0.0399911873350666,0.107471494219253,-0.372109717331001,0.709892859991047
"Strain064",-0.111823350561869,0.107730723660713,-1.03798941251008,0.299534997775967
"Strain065",-0.0662192732379841,0.107722210706474,-0.614722560962112,0.538882871755114
"Strain067",-0.140541559411366,0.107673397713202,-1.30525795968388,0.192116149889376
"Strain068",0.314238570082456,0.107500214898131,2.92314364562185,0.00354608857077091
"Strain069",-0.154705860218853,0.10504830648066,-1.47271160670577,0.141154888135716
"Strain070",-0.0838770052682334,0.107575900007737,-0.779700706777267,0.435758243799593
"Strain071",-0.195615636922103,0.107479182169693,-1.82003280052184,0.0690636900313843
"Strain072",-0.101343082721356,0.10772331367067,-0.940772050803975,0.347057118996198
"Strain073",-0.0516011855361624,0.110597064628569,-0.46656921419624,0.640913426438105
"Strain074",-0.0985121422430902,0.105103541835461,-0.937286608260173,0.348845661673255
"Strain075",0.0323587890447206,0.114342335866386,0.282999195350822,0.777238147915186
"Strain076",0.0300156209878811,0.107952049006542,0.278045866327762,0.781036711172915
"Strain077",-0.168926152444232,0.10520890186345,-1.60562603973835,0.108683268421146
"Strain078",0.105159551631345,0.110878855148355,0.948418447238133,0.343153915056136
"Strain079",-0.17974190475147,0.107870401347175,-1.66627640675017,0.0959828994310698
"Strain080",0.104223288473198,0.11900684290797,0.875775593457226,0.38136997617216
"Strain081",-0.440709258645738,0.115582935393435,-3.81292668459752,0.00014604561588389
"Strain082",-0.122191108482962,0.111234200647484,-1.09850304826842,0.272258885043251
"Strain083",-0.00959889296995014,0.107590247355481,-0.0892171289302376,0.928927864989518
"Strain084",-0.0569867879179685,0.105004282352743,-0.542709179484048,0.587455368125418
"Strain085",-0.0263738419583635,0.105107595924961,-0.25092232132483,0.801927583369528
"Strain086",-0.0830150051069455,0.114442533670511,-0.725385942135399,0.46839116082769
"Strain087",0.0867227113148256,0.110907857958869,0.781934778210103,0.434444714728392
"Strain088",-0.0177133323350172,0.114351180682767,-0.154902924738114,0.87693024022394
"Strain089",-0.112864583133543,0.110659759757762,-1.01992434630807,0.308019966583442
"Strain090",-0.220502562520614,0.110638132859724,-1.99300690296523,0.0465419326922826
"Strain091",-0.222780370415905,0.111048841688183,-2.00614762863944,0.0451191772268022
"Strain092",-0.21707764723795,0.110778511432629,-1.95956458008525,0.0503342441020173
"Strain093",-0.0675204152107826,0.104933926383754,-0.643456482928634,0.520080821293743
"Strain094",-0.120801747716659,0.105226355450649,-1.14801797704868,0.251245651636097
"Strain095",-0.0921560313392858,0.107738129680862,-0.855370625165546,0.392558320718201
"Strain096",-0.182252187510543,0.110678434269869,-1.64668201816222,0.0999490108805313
"Strain097",-0.315081546677001,0.110750976557942,-2.84495501953573,0.00453571347487821
"Strain098",-0.363869536893381,0.107975450548536,-3.36992839617576,0.000781664959565219
"Strain099",-0.139896906518412,0.119021643469915,-1.17539047890709,0.240128448197109
"Strain100",-0.17538932503377,0.110863565151619,-1.58202854827828,0.113970725058887
"Strain101",-0.187471407406644,0.111001381791878,-1.68891057372731,0.0915596228679216
"Strain102",-0.13052425558185,0.114833616906118,-1.13663802550572,0.255971810790871
"Strain103",-0.240329958646842,0.107658397042577,-2.23233825924229,0.0258214214547596
"Strain104",0.0507005281261875,0.125114708714161,0.405232355549966,0.685396542480703
"Strain105",0.0270818981438166,0.110628826395124,0.244799651467786,0.806663607431801
"Strain106",-0.106451187182742,0.105134833757485,-1.01252062117008,0.311542992165727
"Strain107",0.0222781304527996,0.11437227530194,0.19478610873121,0.845601397904163
"Strain108",-0.108840032767691,0.119042203234115,-0.914297869249279,0.360788736948712
"Strain109",-0.236184125362568,0.119210677069464,-1.98123298322468,0.0478486487752559
"Strain110",-0.30940812548547,0.114624499438696,-2.69931931655632,0.00706961303154298
"Strain111",-0.0814444614992456,0.110595212543627,-0.736419412975204,0.461654472185508
"Strain112",-0.0779774559613536,0.110657530198159,-0.70467374268806,0.481183324327903
