"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.91002544050508,0.102736911655938,-18.5914235664557,1.0159322520191e-42
"Nodule.lobes",0.203670834275114,0.0445388269441621,4.5728827687908,9.26362399655948e-06
"HostS",-0.0258101795429223,0.138912765578818,-0.185801351196034,0.852823364786893
"HostV",0.110308762622027,0.132557984363718,0.832154797400641,0.406495907877385
"Strain012",0.171404648851278,0.157868188109185,1.08574533542332,0.27913796450062
"Strain044",-0.00404219775103928,0.162362339318805,-0.0248961536770068,0.980167167392641
"Strain059",-0.0801597739047577,0.196794379502245,-0.407327557359652,0.684282898389649
"Strain070",0.344371277395258,0.14780727652913,2.32986687449985,0.0209953046361009
"Strain077",-0.0246590495875465,0.141824947362745,-0.173869619175505,0.862176021809671
"Strain112",0.141799004590943,0.149943276827009,0.945684312038464,0.34565975478525
"Strain117",0.249077067290568,0.167167337571131,1.48998644657234,0.138091741475193
"repb",0.0514549957510921,0.0330432061876513,1.55720348258219,0.121292870150464
"repc",0.00183527986168941,0.0337041718637586,0.0544526021617772,0.956638888087634
"repd",-0.272103566426987,0.122885718820723,-2.21428144000977,0.0281473339635351
"Nodule.lobes:HostS",-0.026568125402728,0.0570456380927213,-0.465734564306993,0.64200516253222
"Nodule.lobes:HostV",-0.0589698107697069,0.054246792910992,-1.08706538405809,0.278555897061579
"Nodule.lobes:Strain012",0.00656065564938559,0.06130055213314,0.107024413664927,0.914896554751413
"Nodule.lobes:Strain044",0.00811242554541178,0.0608433828135588,0.13333291428372,0.894088731909695
"Nodule.lobes:Strain059",-0.036485094050075,0.0942176183007183,-0.387242797134014,0.699063695371289
"Nodule.lobes:Strain070",-0.128348983854845,0.0667769114674819,-1.92205630710169,0.0562808970016866
"Nodule.lobes:Strain077",0.0184771560986597,0.0616029016152448,0.299939704367548,0.764591749848074
"Nodule.lobes:Strain112",-0.0428298031119786,0.0563659231629293,-0.759852774666287,0.448401266386676
"Nodule.lobes:Strain117",-0.0459806648315752,0.0579487982106211,-0.793470550751605,0.428616349619201
"HostS:Strain012",-0.339458385272366,0.235314319136995,-1.44257428327063,0.150991218239948
"HostV:Strain012",-0.100342081850315,0.185522614057629,-0.540861729229114,0.589315060468496
"HostS:Strain044",0.0396347721272221,0.237049192335634,0.167200620836134,0.867412092426738
"HostV:Strain044",-0.0127719483998168,0.213838123629196,-0.0597271813980369,0.952443491558953
"HostS:Strain059",0.320197001628535,0.288600741695121,1.10948086878721,0.26879904207181
"HostV:Strain059",0.160107385296885,0.239404571306995,0.668773300454546,0.504552583086548
"HostS:Strain070",0.0392921290254363,0.20363975095726,0.192949209772325,0.847230428485173
"HostV:Strain070",-0.46091435640131,0.216735686461994,-2.12661958870412,0.034903261746042
"HostS:Strain077",0.154564612566297,0.206498935918516,0.748500770131271,0.45519858125608
"HostV:Strain077",0.0274185272670402,0.192754250470063,0.142246031930168,0.887055111405385
"HostS:Strain112",-0.209754122190965,0.212284977403132,-0.988078029622604,0.324526966597517
"HostV:Strain112",-0.487985314867613,0.210836345715673,-2.31452178328728,0.0218420899370362
"HostS:Strain117",-0.0911675614825507,0.22766966270531,-0.400437899363674,0.689339757123634
"HostV:Strain117",-0.241898230419095,0.22947115803657,-1.05415526939793,0.293316598898199
"Nodule.lobes:HostS:Strain012",0.0811225421004405,0.0992191752438654,0.817609518533629,0.41473138906496
"Nodule.lobes:HostS:Strain044",-0.0102640913172974,0.0859351668982691,-0.119439941618408,0.905068682248808
"Nodule.lobes:HostV:Strain044",0.0241412022456929,0.0785993951545685,0.307142341212911,0.759113169315862
"Nodule.lobes:HostS:Strain059",-0.00695574405694154,0.12645978831353,-0.0550036035146309,0.956200563288072
"Nodule.lobes:HostV:Strain059",-0.00652833558231249,0.108603458348423,-0.0601116730681653,0.952137717728527
"Nodule.lobes:HostS:Strain070",0.0494102014794663,0.090342165003414,0.546922928818444,0.585153119884631
"Nodule.lobes:HostV:Strain070",0.195147067832347,0.0904234972488873,2.15814554589955,0.0323278872855925
"Nodule.lobes:HostS:Strain077",-0.0125866445994869,0.0830863030113613,-0.151488803127584,0.879770825044662
"Nodule.lobes:HostV:Strain077",0.015259917442246,0.078900464708316,0.193407193464066,0.846872334425304
"Nodule.lobes:HostS:Strain112",0.166590315840443,0.0916546520363671,1.8175871288491,0.0708983534497715
"Nodule.lobes:HostV:Strain112",0.197476394957986,0.0870314045197362,2.26902456702516,0.0245314387185877
"Nodule.lobes:HostS:Strain117",0.0873441828701633,0.0767979042026539,1.13732508428459,0.25701235311517
"Nodule.lobes:HostV:Strain117",0.104094592910712,0.0777779349248192,1.33835634761107,0.182578103722967
