"","Estimate","Std. Error","t value"
"(Intercept)",108434.788693365,7645155.2675718,0.014183464546928
"Nodule.area",162709613.143949,152573758.903286,1.0664324869068
"Strain012",4158915.167424,12948966.0912138,0.321177392706736
"Strain044",738016.816080927,10846451.6194563,0.0680422355599756
"Strain059",-19257186.1557122,14454887.2349079,-1.33222666097367
"Strain070",2744863.80852775,13136511.3416393,0.208949220774258
"Strain077",855351.169250021,10577017.8020607,0.0808688408450416
"Strain112",-1630965.76585151,10541911.3510382,-0.154712529022632
"Strain117",4038962.59934996,11110872.9665642,0.363514425149523
"Nodule.area:Strain012",-171567991.423677,261495725.04694,-0.65610247124644
"Nodule.area:Strain044",-88279015.9777308,186210073.216707,-0.474082923940391
"Nodule.area:Strain059",858756937.292246,368220511.906633,2.33218115103266
"Nodule.area:Strain070",333585938.522457,260745314.894333,1.2793554455912
"Nodule.area:Strain077",79589675.4624559,196905389.979482,0.404202624777053
"Nodule.area:Strain112",24902290.5406695,200461950.555639,0.124224524762158
"Nodule.area:Strain117",-95237962.6755096,168069922.387728,-0.566656789760399
