"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2235434.85888505,7979635.10881614,0.280142491279492,0.779656287129066
"Nodule.area",178929303.961073,153281553.346029,1.16732444351699,0.244462296503226
"Strain012",4217961.25161583,13066635.2028191,0.322803934306347,0.747179277351777
"Strain044",1249454.34396921,10920809.271599,0.114410417112455,0.90902666043324
"Strain059",-19211997.1806796,14634438.0554762,-1.31279363839259,0.19074939923543
"Strain070",2642138.30800683,13215175.6958528,0.199932136266337,0.841735785870201
"Strain077",1507932.75341131,10630999.701189,0.141842987093928,0.88734609723182
"Strain112",-976099.301411402,10628618.9659767,-0.0918368891138161,0.92691909728377
"Strain117",3418255.52918739,10747559.9069795,0.318049451110066,0.750777619270264
"HostS",-1821729.63584334,4431931.08844674,-0.411046471501387,0.681476357579837
"HostV",-5408591.41491999,4357903.62792383,-1.24109936260723,0.216015558160083
"Nodule.area:Strain012",-161987576.138831,263156693.432428,-0.615555599312261,0.538884220253894
"Nodule.area:Strain044",-102569764.1464,186821259.723661,-0.549026188444066,0.583596862566502
"Nodule.area:Strain059",890699262.796115,372800921.040095,2.38920885793713,0.0178092822761037
"Nodule.area:Strain070",311639545.399435,261972113.767484,1.18959052899819,0.235610664338459
"Nodule.area:Strain077",67040777.5113796,197765494.464208,0.338991276981904,0.734970187551497
"Nodule.area:Strain112",-3513796.61006149,202527770.410333,-0.017349702724433,0.986174844067812
"Nodule.area:Strain117",-80277190.7075124,167659387.114326,-0.478811190290059,0.632593405600834
