DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	Shoot biomass
COLOR	#000000
FIELD_LABELS	O_mean_shoot	V_mean_shoot	S_mean_shoot
FIELD_COLORS	#471323	#FCB0B3	#ADB9E3
SHAPE_TYPE	2	2	2
SHAPE_SCALING	1
SHOW_VALUES	0
SHAPE_SPACING	10
HORIZONTAL_GRID	1
VERTICAL_GRID	1
LEGEND_TITLE	Biomass by host
LEGEND_SHAPES	2	2	2
LEGEND_COLORS	#471323	#FCB0B3	#ADB9E3
LEGEND_LABELS	O_mean_shoot	V_mean_shoot	S_mean_shoot

DATA
AVT1	0.32475	0.419	0.48
AVT10	0.29075	0.475	0.374666666666667
AVT100	0.255	0.15475	0.618
AVT101	0.27325	0.29925	0.252
AVT102	0.32975	0.26025	0.3895
AVT103	0.28725	0.107	0.4475
AVT104	0.5875	0.331	0.472333333333333
AVT105	0.360666666666667	0.4555	0.4485
AVT106	0.37475	0.37325	0.288666666666667
AVT107	0.3545	0.41375	0.5565
AVT108	0.385	0.2185	0.308
AVT109	0.188	0.26125	0.164
AVT11	0.369	0.357	0.467666666666667
AVT110	0.061	0.212	0.3115
AVT111	0.25025	0.41825	0.6635
AVT112	0.32725	0.42	0.35075
AVT113	0.12825	0.20725	0.183666666666667
AVT114	0.29125	0.28275	0.27575
AVT115	0.422	0.25175	0.3725
AVT116	0.26275	0.49275	0.471
AVT117	0.50325	0.3535	0.543666666666667
AVT118	0.00525	0.00775	0.00366666666666667
AVT119	0.42525	0.5035	0.488333333333333
AVT12	0.2735	0.23625	0.364666666666667
AVT120	0.3415	0.328666666666667	0.387
AVT121	0.255333333333333	0.0333333333333333	0.179333333333333
AVT122	0.257	0.41275	0.4055
AVT123	0.24975	0.2015	0.0706666666666667
AVT13	0.56425	0.47475	0.5705
AVT14	0.391	0.3615	0.481666666666667
AVT15	0.3585	0.26875	0.5
AVT16	0.3035	0.3345	0.319
AVT17	0.3425	0.459666666666667	0.384666666666667
AVT18	0.41975	0.4	0.473
AVT19	0.25775	0.2125	0.362
AVT2	0.544	0.41025	0.460333333333333
AVT20	0.32075	0.271	0.583
AVT21	0.223	0.33275	0.49775
AVT22	0.268	0.357	0.501
AVT23	0.43925	0.38075	0.393666666666667
AVT24	0.328	0.5185	0.575666666666667
AVT25	0.3115	0.36375	0.388
AVT26	0.401	0.46325	0.409333333333333
AVT28	0.25975	0.30275	0.445333333333333
AVT29	0.2625	0.223	0.423333333333333
AVT3	0.443	0.38775	0.4215
AVT30	0.3655	0.362	0.588
AVT31	0.38125	0.321	0.469
AVT32	0.509	0.397	0.604
AVT33	0.43275	0.320666666666667	0.402333333333333
AVT34	0.48825	0.55225	0.577
AVT35	0.49675	0.4035	0.467333333333333
AVT37	0.473	0.6065	0.4795
AVT38	0.361	0.52775	0.574333333333333
AVT39	0.368	0.4945	0.491666666666667
AVT4	0.4715	0.3175	0.4035
AVT41	0.457	0.31575	0.551
AVT42	0.1985	0.38375	0.471666666666667
AVT43	0.356666666666667	0.401	0.490666666666667
AVT44	0.3825	0.42525	0.408666666666667
AVT45	0.332	0.47125	0.465666666666667
AVT46	0.36325	0.455	0.354666666666667
AVT47	0.261	0.39275	0.495
AVT48	0.449	0.4095	0.615666666666667
AVT49	0.32275	0.46725	0.472
AVT5	0.338	0.3525	0.591666666666667
AVT50	0.4165	0.456	0.332
AVT52	0.484	0.48375	0.695
AVT53	0.447	0.452333333333333	0.644
AVT54	0.2735	0.39575	0.457666666666667
AVT55	0.3445	0.4615	0.565333333333333
AVT56	0.385	0.42275	0.508
AVT57	0.315	0.43725	0.695666666666667
AVT58	0.46775	0.43825	0.444666666666667
AVT59	0.27725	0.41025	0.490333333333333
AVT6	0.3545	0.3395	0.418
AVT60	0.3445	0.30075	0.421
AVT62	0.26825	0.384333333333333	0.415666666666667
AVT63	0.47775	0.28425	0.503
AVT64	0.42375	0.302	0.30975
AVT65	0.38525	0.35	0.313333333333333
AVT67	0.22225	0.314	0.429
AVT68	0.48975	0.4895	0.605666666666667
AVT69	0.23575	0.31775	0.363333333333333
AVT7	0.41375	0.48375	0.421333333333333
AVT70	0.3535	0.35575	0.338666666666667
AVT71	0.26125	0.3165	0.293333333333333
AVT72	0.272	0.2945	0.477333333333333
AVT73	0.34475	0.30675	0.449666666666667
AVT74	0.29725	0.44775	0.277
AVT75	0.53375	0.234	0.3645
AVT76	0.36125	0.35225	0.35825
AVT77	0.28575	0.23975	0.419
AVT78	0.54575	0.42225	0.410666666666667
AVT79	0.20325	0.311	0.31
AVT8	0.44875	0.34675	0.559333333333333
AVT80	0.29	0.40225	0.616333333333333
AVT81	0.0815	0.07	0.138
AVT82	0.325	0.31125	0.294
AVT83	0.368	0.3875	0.453
AVT84	0.43	0.29425	0.337666666666667
AVT85	0.46825	0.21025	0.470666666666667
AVT86	0.3985	0.27	0.444333333333333
AVT87	0.467666666666667	0.45725	0.392333333333333
AVT88	0.298666666666667	0.38425	0.560333333333333
AVT89	0.32025	0.351	0.282333333333333
AVT9	0.3365	0.46975	0.3
AVT90	0.246	0.2875	0.331
AVT91	0.185	0.2255	0.2975
AVT92	0.2105	0.22525	0.28325
AVT93	0.37575	0.31775	0.3675
AVT94	0.228	0.304	0.434
AVT95	0.21625	0.3225	0.4125
AVT96	0.31675	0.27775	0.3975
AVT97	0.13925	0.15275	0.376333333333333
AVT98	0.14975	0.15925	0.175
AVT99	0.30425	0.261	0.447
