"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.91860868654368,0.105696703789585,-18.1520200512888,6.34095980251711e-44
"Nodule.lobes",0.202693650136207,0.0462784696135422,4.37986933943239,1.9273847950363e-05
"HostS",-0.0395264793769017,0.13972812919654,-0.282881332514688,0.777564820664597
"HostV",0.120260084960608,0.137016236877308,0.877706815640366,0.381172004852506
"Strain012",0.184767454669362,0.163476981993341,1.13023529316738,0.259751290528262
"Strain044",-0.11723272334905,0.156888380271109,-0.74723649480266,0.455811767803609
"Strain059",-0.0696917444490157,0.204074904643589,-0.341500806141403,0.733090583405406
"Strain070",0.356275825086163,0.153073044383526,2.32748898750265,0.0209548355626749
"Strain077",-0.0859653910166023,0.142082124810474,-0.605040156397388,0.545848622489185
"Strain112",0.168850982295059,0.144164903166603,1.17123501342021,0.242919013836427
"Strain117",0.295403817025915,0.152472593990925,1.93742238715698,0.0541236118789331
"repb",0.0489051022485538,0.0308066851305639,1.58748343229029,0.114006911524877
"repc",-0.00247692491201716,0.0335647674783966,-0.0737953842108809,0.941248075553386
"repd",-0.218638571081464,0.118914214013659,-1.83862436374806,0.067475967057506
"Nodule.lobes:HostS",-0.0194017150476132,0.0587057494573706,-0.330490884231055,0.741380294325744
"Nodule.lobes:HostV",-0.0575556682757316,0.056346197814318,-1.02146498802633,0.308286925559492
"Nodule.lobes:Strain012",0.00618932914693131,0.0636574527253959,0.0972286650179155,0.922643651264106
"Nodule.lobes:Strain044",0.0351839893207356,0.0619627778175907,0.567824596636259,0.570800653014623
"Nodule.lobes:Strain059",-0.0354670858625143,0.0979000133349457,-0.362278662222145,0.717532136458183
"Nodule.lobes:Strain070",-0.12749122211708,0.0693870957932524,-1.83739095374386,0.0676585418171277
"Nodule.lobes:Strain077",0.0414834725263123,0.0634061640920788,0.654249837067415,0.513713904700433
"Nodule.lobes:Strain112",-0.0379792827352463,0.0559056930105059,-0.679345531556315,0.497716361420493
"Nodule.lobes:Strain117",-0.0506497375649831,0.0574889707145862,-0.881033995484843,0.379373030922589
"HostS:Strain012",-0.258552518994523,0.23370507319771,-1.10631966801933,0.269937327884879
"HostV:Strain012",-0.0779671488628426,0.189227036897379,-0.412029645135358,0.680765674932241
"HostS:Strain044",0.185116035961802,0.225511382426149,0.820872250306145,0.412711253980442
"HostV:Strain044",0.047240480401895,0.210121240763387,0.224824868872212,0.822348547573459
"HostS:Strain059",0.335428376048757,0.296668568310987,1.1306501998457,0.259576973896628
"HostV:Strain059",0.149591914575155,0.248401420507255,0.602218434458532,0.547721258174705
"HostS:Strain070",0.0536137538772539,0.208263270053394,0.257432594155986,0.797113541263132
"HostV:Strain070",-0.472964539123018,0.224910516718339,-2.10290094933766,0.0367443081260221
"HostS:Strain077",0.23479600743195,0.202846092686236,1.15750815962294,0.248466299085822
"HostV:Strain077",0.110651084944267,0.195743423397373,0.565286347933323,0.572522225017923
"HostS:Strain112",-0.138833473682358,0.199333722981451,-0.696487636942783,0.486944466247406
"HostV:Strain112",-0.393604203524322,0.199870652369655,-1.96929463559444,0.0503211972792891
"HostS:Strain117",-0.151141670830289,0.206068986602636,-0.733451808164306,0.4641548356835
"HostV:Strain117",-0.241132650599405,0.21206331143787,-1.1370785873541,0.256886612163526
"Nodule.lobes:HostS:Strain012",0.0509685318228355,0.100428076898671,0.507512773288104,0.612362774270536
"Nodule.lobes:HostS:Strain044",-0.0457155189827104,0.085954827024885,-0.531855168174268,0.595425566099871
"Nodule.lobes:HostV:Strain044",2.22801002571491e-05,0.0795140808179975,0.000280203204614121,0.999776713728957
"Nodule.lobes:HostS:Strain059",-0.0150129429615561,0.130831534760202,-0.114750186100568,0.908760005563031
"Nodule.lobes:HostV:Strain059",-0.00773309786121055,0.112839850305037,-0.0685316210567973,0.945431958373361
"Nodule.lobes:HostS:Strain070",0.041668044490409,0.0934057944306174,0.446096997990423,0.656017099110147
"Nodule.lobes:HostV:Strain070",0.194358557409921,0.0939633693708089,2.06845027707469,0.0399036182265906
"Nodule.lobes:HostS:Strain077",-0.0406233118392535,0.0844691876793099,-0.480924618258214,0.631103766663743
"Nodule.lobes:HostV:Strain077",-0.026126354614565,0.0804459822588444,-0.324768917986486,0.745700584052634
"Nodule.lobes:HostS:Strain112",0.10340664083932,0.0797609582547787,1.29645685184738,0.196334746978801
"Nodule.lobes:HostV:Strain112",0.150841798737319,0.0856785389853955,1.76055521631888,0.0798654325433538
"Nodule.lobes:HostS:Strain117",0.0808188608557773,0.0746930113338826,1.08201369060503,0.280569120888424
"Nodule.lobes:HostV:Strain117",0.0982464059627671,0.0771108020963423,1.27409394393302,0.204131124637813
