"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",58.4705706336774,8.80942586427405,6.63727370370415,2.28673234325369e-10
"mean_prop_lobe",-38.3602059949077,11.4010464558073,-3.36462149712304,0.000898550241442408
"VarietyS",13.3220390332411,5.43925109845438,2.4492414106469,0.0150665316196438
"VarietyV",-0.861256724135124,5.74262278945236,-0.149976196541591,0.880915403404493
"Strain002",-12.6944596694331,10.2646444193262,-1.23671694321257,0.217459006195815
"Strain003",-12.1376972255079,10.2646639579273,-1.18247390029112,0.238244008605831
"Strain004",-15.2190320675688,10.3360379214177,-1.47242417097106,0.142279400104781
"Strain005",-7.45572580809468,10.3141528889485,-0.722863611618886,0.470501299886033
"Strain006",-5.9526394667675,10.3265147078436,-0.576442259095039,0.564882430321043
"Strain007",1.35941151985007,10.3107315546045,0.131844332543309,0.895223184583666
"Strain008",-4.57444031063062,10.2694509297161,-0.445441566636619,0.656421479881668
"Strain009",-6.32253808823344,10.2995086043938,-0.613867935945623,0.53991191715949
"Strain010",-2.7642698928207,10.2952337998827,-0.268499962851954,0.788556224668826
"Strain011",-15.8311490237182,10.3170583161979,-1.5344634622122,0.126296082788124
"Strain012",1.34693596478557,10.4890044324262,0.1284140905329,0.897933984640082
"Strain013",22.0514683207774,10.3075217724412,2.13935694802368,0.0334647412345933
"Strain014",9.48251236739115,10.3615666433273,0.915162030396025,0.361069215498291
"Strain015",-4.19417835954086,10.3172076347207,-0.406522627830627,0.684738293427083
"Strain016",-10.7226635590789,10.3868347409633,-1.03233216148045,0.303005552528669
"Strain017",-6.53413015189055,10.2681315143066,-0.636350454100294,0.525183548075529
"Strain018",-4.20479078763561,10.3393366211716,-0.40667897193961,0.684623609116182
"Strain019",0.3166150150481,10.5533655259134,0.0300013312597449,0.976092121603588
"Strain020",-10.492921146186,10.2849861580758,-1.0202173328106,0.308701987722849
"Strain021",-12.5697554406781,10.2660517328493,-1.22440016549472,0.22205940216878
"Strain022",-3.68236361639142,10.3095913617608,-0.357178426106163,0.721287169902775
"Strain023",-8.44043590227706,10.2716196916636,-0.821723949644211,0.412088722157135
"Strain024",-12.8992732192989,10.2951517984579,-1.25294638406702,0.211503091694511
"Strain025",4.68724213015923,10.36680984724,0.452139298321087,0.651596615478524
"Strain026",-11.9576195025933,10.3004635200277,-1.16088169035728,0.246898715690571
"Strain028",-0.767361921937738,10.3190719502678,-0.0743634626869544,0.940786097925092
"Strain029",-5.10215944142576,10.4150601250432,-0.489882860028579,0.624685766997767
"Strain030",-0.225115361622135,10.2910974197403,-0.0218747673295095,0.982566900888224
"Strain031",-0.00237312577373093,10.3096444192195,-0.000230185026489069,0.999816539316183
"Strain032",25.0383054559488,10.3224924233944,2.42560657145199,0.0160570810201003
"Strain033",15.8866824319275,10.3869971338586,1.52947788732333,0.127526156622963
"Strain034",0.405600913213252,10.2659626699714,0.0395092916516891,0.96851876823002
"Strain035",14.9791162924559,10.4298786215522,1.43617359664218,0.15231759762457
"Strain037",9.59436981206335,10.3445266457695,0.927482729815098,0.354652450886422
"Strain038",-0.373531982599006,10.2706383723368,-0.0363689158412087,0.971019882110961
