"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6496822.28213669,14655033.7727658,0.443316773122017,0.658103613964543
"Nodule.lobes",479308.247970808,6353296.0310506,0.0754424546925366,0.939951911934572
"HostS",-5316441.6258897,19815383.1783809,-0.268298703993273,0.788796614554028
"HostV",-13612321.8555528,18908897.5557868,-0.719889766994215,0.472587280898559
"Strain012",16095608.3925637,22519302.8590686,0.714747187925577,0.475751421556101
"Strain044",-3835214.59486317,23160376.6143073,-0.165593792308799,0.868674558294788
"Strain059",-6951747.47406707,28071977.5532516,-0.247640105186029,0.804713490542208
"Strain070",18011284.4187929,21084151.6888223,0.854257011836126,0.394171890865439
"Strain077",-7880291.42687688,20230794.9491649,-0.389519613375458,0.697382214546449
"Strain112",-16623864.1092966,21388844.0919665,-0.777221248507785,0.438114822521024
"Strain117",6674181.92492115,23845791.5302408,0.279889301072564,0.779904714952634
"repb",5685477.14802512,4713488.99665415,1.20621415517485,0.229420818608122
"repc",-5214810.70727374,4807773.26264835,-1.0846623628838,0.279616117410263
"repd",15056395.0243298,17529185.2799647,0.858932961450229,0.391594153851918
"Nodule.lobes:HostS",381349.765437746,8137345.56901571,0.0468641477989823,0.962676835791267
"Nodule.lobes:HostV",6006950.14479908,7738100.83796567,0.776282226166787,0.438667432433004
"Nodule.lobes:Strain012",-7907072.14304685,8744293.04249417,-0.904255164439398,0.367147317417947
"Nodule.lobes:Strain044",1424156.77142295,8679079.55972206,0.164090761194561,0.869855777704628
"Nodule.lobes:Strain059",1043687.40295303,13439788.6400431,0.0776565339609156,0.938193135076409
"Nodule.lobes:Strain070",1006474.45042797,9525475.0899491,0.105661338770385,0.915976364338361
"Nodule.lobes:Strain077",7693196.67637524,8787422.05815179,0.875478226203842,0.382556334340847
"Nodule.lobes:Strain112",10033497.227789,8040386.79255069,1.24788738236883,0.213798543770585
"Nodule.lobes:Strain117",16296.3383453966,8266177.96057487,0.00197144779886439,0.99842933843348
"HostS:Strain012",-13766663.9225976,33566701.9631374,-0.410128583312,0.682231066943403
"HostV:Strain012",-4074005.46595395,26464102.6365639,-0.153944591354673,0.877837101363645
"HostS:Strain044",1689386.65636551,33814175.0953127,0.0499609010600909,0.960212544197565
"HostV:Strain044",10123267.2933856,30503203.5047513,0.331875545196711,0.740394459957945
"HostS:Strain059",-23152602.7128801,41167809.5848504,-0.562395788028522,0.574591602938162
"HostV:Strain059",-17366149.5397347,34150161.0405451,-0.508523210743181,0.6117496501567
"HostS:Strain070",-12528210.2440394,29048444.0271158,-0.43128679224074,0.666809493449917
"HostV:Strain070",-4803905.75250108,30916529.9371788,-0.155383083491661,0.876704752237556
"HostS:Strain077",19388021.7096935,29456296.0006121,0.658196186964261,0.511307690005462
"HostV:Strain077",15598302.0995924,27495668.3528033,0.567300343437627,0.571262929672083
"HostS:Strain112",17196956.2466698,30281653.0412408,0.567900181117891,0.570856461958608
"HostV:Strain112",21033577.4527039,30075011.1832968,0.699370561311234,0.485281939496091
"HostS:Strain117",-16447317.1831655,32476220.4956516,-0.506441849825712,0.613206561370358
"HostV:Strain117",1409921.50966374,32733197.024297,0.0430731379100302,0.965694080732439
"Nodule.lobes:HostS:Strain012",5163821.58382116,14153241.9134265,0.364850796404639,0.71567894522746
"Nodule.lobes:HostS:Strain044",-21721.5197188837,12258328.1204717,-0.00177198060823713,0.998588254688767
"Nodule.lobes:HostV:Strain044",-6509778.23417212,11211907.8911653,-0.58061288920342,0.562274799317756
"Nodule.lobes:HostS:Strain059",22076646.9663135,18039012.8412477,1.22382788684719,0.222720647763468
"Nodule.lobes:HostV:Strain059",16658106.5805818,15491874.5782963,1.07528023780411,0.283782014290673
"Nodule.lobes:HostS:Strain070",10972854.9436335,12886969.8133786,0.851468972344613,0.395713787644537
"Nodule.lobes:HostV:Strain070",-3074557.96298348,12898571.552082,-0.238364221229383,0.811887389857554
"Nodule.lobes:HostS:Strain077",-5824989.5939089,11851948.4093853,-0.49147949288205,0.62372505040786
"Nodule.lobes:HostV:Strain077",-12225858.9996415,11254854.3298601,-1.08627429918886,0.278904621012719
"Nodule.lobes:HostS:Strain112",-9617758.93524351,13074191.1487703,-0.73562936519772,0.46297600598557
"Nodule.lobes:HostV:Strain112",-13566390.1966745,12414702.2912213,-1.09276806470563,0.276050913254807
"Nodule.lobes:HostS:Strain117",4425291.24186535,10954931.987217,0.403954241526017,0.686757071718016
"Nodule.lobes:HostV:Strain117",-4248537.7169928,11094729.6811537,-0.382932963586274,0.702250681297205
