"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.74326810097603,0.254171487983313,18.6616844344375,6.44830237977826e-46
"Nodule.area",51.5959700499053,6.07751411734631,8.48965038232346,4.35921945121614e-15
"Nodule.lobes",0.371877218670673,0.0800116417376001,4.64778887915152,6.03193746777443e-06
"HostS",-0.269312667491911,0.150295104401449,-1.7918924808925,0.0746395448205742
"HostV",-0.428741593603745,0.143420728929325,-2.98939767496942,0.00314057100739562
"Strain012",-0.112470468448614,0.25975033315515,-0.432994510853753,0.665478451277723
"Strain044",-0.420379180900685,0.224519979774555,-1.87234642245557,0.0625965597958312
"Strain059",-0.25935452715847,0.223868238079829,-1.15851417504786,0.248015344166438
"Strain070",-0.0508074347570954,0.226602387141893,-0.224214031449196,0.822816269269057
"Strain077",-0.015638401966935,0.199366704802895,-0.0784403894441454,0.937555011109026
"Strain112",-0.436855664000104,0.204465167291399,-2.13657744146467,0.0338293549792705
"Strain117",-0.445380521922522,0.232721114825397,-1.91379506864548,0.0570529894762032
"repb",-0.18889291943768,0.143613229726802,-1.31528912619691,0.189896450429062
"repc",-0.279028850197261,0.147058010611015,-1.89740666991154,0.0591936313438391
"repd",0.00732802950618574,0.480254007150684,0.0152586535397434,0.98784081419297
"Nodule.area:Nodule.lobes",-9.01807338651683,1.24046123281881,-7.26993568837638,7.62639840178091e-12
