"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.88203938886909,0.254085108852487,23.1498784617244,5.29602707905962e-61
"as.factor(Nodule.lobes)2",0.961324602453323,0.309315688002713,3.1079076805341,0.00213153068953246
"as.factor(Nodule.lobes)3",0.642593442119413,0.398252394888971,1.61353315225778,0.108055668085724
"as.factor(Nodule.lobes)4",0.709172883433561,1.06054251876695,0.66868878039712,0.504391882657358
"as.factor(Nodule.lobes)5",1.15278377111026,0.343718545154981,3.35385968362711,0.000937663012280982
"HostS",-0.171135471427539,0.245870739823082,-0.696038379966162,0.487136134106774
"HostV",-0.420459294074579,0.244677245510157,-1.71842417629769,0.0871197435674144
"as.factor(Strain)012",0.133020283226193,0.30716977779957,0.433051337859773,0.66539981404386
"as.factor(Strain)044",-0.260539548647771,0.271359836670756,-0.96012568346246,0.338041215942118
"as.factor(Strain)059",-0.226339567956035,0.272213298624192,-0.831478730466109,0.406600710149904
"as.factor(Strain)070",0.339108354223335,0.274314143376017,1.23620441166427,0.217694842917203
"as.factor(Strain)077",0.132087370636403,0.241274460987482,0.547456909014735,0.584617305262457
"as.factor(Strain)112",-0.122197753443894,0.235581765208899,-0.518706332536124,0.604484530147015
"as.factor(Strain)117",0.31520547961341,0.248847961491791,1.266658877669,0.206610623313265
"repb",0.0409979389093001,0.163977112691728,0.25002232467878,0.802802340356185
"repc",-0.191820725896822,0.176405194720469,-1.08738705909869,0.278050288162761
"repd",-0.703643693280543,0.58724398598983,-1.19821353656694,0.232117283723741
"as.factor(Nodule.lobes)2:HostS",-0.602052304199959,0.425209686063231,-1.4158950840796,0.158214010431949
"as.factor(Nodule.lobes)3:HostS",0.460534787736301,0.609334558855841,0.755799553862587,0.450574201607251
"as.factor(Nodule.lobes)4:HostS",0.285294174919642,1.13893573277395,0.250491899332011,0.802439684922785
"as.factor(Nodule.lobes)5:HostS",0.0739174254109242,0.514898747584968,0.143557205679018,0.885980947062336
"as.factor(Nodule.lobes)2:HostV",-0.601810343351496,0.407244817902823,-1.47776059238917,0.140895570900659
"as.factor(Nodule.lobes)3:HostV",0.464234589196913,0.545243352094599,0.851426408801714,0.395454151511514
"as.factor(Nodule.lobes)4:HostV",-0.526449094953762,1.1901694959294,-0.442331194635988,0.658682139307377
"as.factor(Nodule.lobes)5:HostV",0.351310843265599,0.487935213782674,0.719994854526061,0.472288931729254
