"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.72302981245322,3.71775869576648,-0.732438556475979,0.463900932614937
"Nod_count",0.0696814465679438,0.10239321714439,0.680527954011665,0.496170227931156
"VarietyS",2.30426092658208,4.98773268402142,0.461985650105899,0.644091611065772
"VarietyV",-0.188426075660614,5.90336489349882,-0.0319184192507092,0.974537109685206
"Strain002",3.80690689263438,8.23193103802501,0.462456120568732,0.643754262152573
"Strain003",4.0844899960262,9.09701043889181,0.448992558980044,0.65343702443991
"Strain004",2.11320005205124,4.4079329959794,0.479408388008336,0.631648127358411
"Strain005",4.66281515011188,7.22848356617752,0.645061319905251,0.518887448783614
"Strain006",2.94738624936503,4.04221077602852,0.729152043936919,0.465908662224752
"Strain007",1.96718503313736,4.43547727611803,0.443511466901045,0.657395826941456
"Strain008",3.01543608513183,4.30360045005982,0.700677518771503,0.483504288994097
"Strain009",2.54299563548634,7.00075513069344,0.36324590533628,0.71642119862659
"Strain010",4.95189581434106,16.7365260469981,0.295873576179165,0.767326631228831
"Strain011",2.63762754697288,5.08229666302063,0.51898338917611,0.603772324812277
"Strain012",-0.814969143456072,8.38547519173964,-0.0971881884832098,0.922576947864382
"Strain013",-0.418005609340025,9.1019089918328,-0.0459250482195662,0.96336998964437
"Strain014",1.64556089639373,5.49668640421493,0.299373254244938,0.764655266926266
"Strain015",7.54949463839675,10.0573685113762,0.750643135911474,0.452867453589802
"Strain016",3.10139733150407,5.18319591983079,0.598356183998021,0.549602295302968
"Strain017",1.56262197067377,5.82900765979636,0.268076842899253,0.788640170340643
"Strain018",4.08822890230439,5.81958905217238,0.702494431420084,0.482370873255298
"Strain019",-0.952846671309433,7.47715021389112,-0.127434469557563,0.898596535864668
"Strain020",3.06094207263482,4.46346894275232,0.685776491758749,0.492854062685503
"Strain021",2.86660203375888,10.8241810784606,0.264833155781477,0.791137993930948
"Strain022",-0.238639509076672,7.08576995941337,-0.0336786983550943,0.973133365585014
"Strain023",4.29377476505398,15.4716878555796,0.27752465051869,0.781377280510412
"Strain024",1.28001090906331,4.73847666813415,0.270131309851386,0.787059235401177
"Strain025",3.03145895107351,5.83347022918625,0.519666481866384,0.603296052393112
"Strain026",4.06618285071347,4.37982181307058,0.928390017735169,0.353205294676888
"Strain028",3.34509131406898,8.99624194041038,0.371832075685193,0.710017880292566
"Strain029",-2.62986134727642,12.2190883816322,-0.21522565883308,0.82959138680689
"Strain030",2.83866337321257,4.37112335575204,0.649412780693347,0.516071605199491
"Strain031",4.58471719090382,4.40018134874078,1.04193823561746,0.297440315549375
"Strain032",3.21182328284496,5.17681267511411,0.620424860703341,0.534978109125269
"Strain033",1.95269554635363,4.9515505681158,0.39436041690203,0.693314963483793
"Strain034",4.15058358368926,4.56858248019982,0.908505778691275,0.363611062065118
"Strain035",2.12337401846999,6.26279847619668,0.339045560309884,0.734575408478396
"Strain037",2.6924533929793,4.90979610071887,0.548383952764369,0.583428292776976
"Strain038",2.00798337239506,5.23679964953767,0.383437119381174,0.701395685259768
"Strain039",6.48148832167103,9.18172418823211,0.705911895064124,0.480242929786159
"Strain041",3.73794994518316,5.91701973969832,0.631728489953245,0.527564308184019
"Strain042",1.7960013569284,7.50369757834974,0.239348846108933,0.810835092149144
"Strain043",4.88820129527442,5.33792408697205,0.915749496551432,0.359798297790226
"Strain044",4.61750171832619,4.61090065556229,1.00143162112069,0.316618182991569
"Strain045",4.54113560931018,5.65706584323788,0.802736919659224,0.422126808865986
"Strain046",5.10920418974647,5.16589569331395,0.989025813347171,0.322650512272762
"Strain047",2.53678834655714,4.44864842278595,0.570237992636982,0.568516290863205
"Strain048",2.39798926451587,5.380474848815,0.445683574758092,0.655825830942935
"Strain049",3.96987502758936,6.41225595789884,0.61910738648839,0.535845617606027
"Strain050",3.0399688100433,7.31722935148887,0.415453536306709,0.677809922258895
"Strain052",2.11787200147918,4.55233210801094,0.46522792081717,0.641768245989071
"Strain053",0.918272254473793,7.6070167174513,0.120713847304579,0.903917690643042
"Strain054",1.82616184836626,4.20027356676309,0.434772121229612,0.663727842771142
"Strain055",4.31644760125054,4.72451364613394,0.91362792544428,0.360912387647637
"Strain056",3.43997420471769,4.26365294187787,0.806813840528633,0.419773743917537
"Strain057",4.16754592279651,4.38057672927505,0.951369232947142,0.341416973070885
"Strain058",5.07433649769791,5.15718783267486,0.983934784292319,0.325147579440665
"Strain059",1.33159559368925,11.6764426553226,0.114041205270875,0.909205129414316
"Strain060",2.20180839223676,4.58465144086225,0.48025644274991,0.631045056778203
"Strain062",2.95085622719465,4.91768514591211,0.600049848585281,0.5484730144469
"Strain063",4.07205203350715,5.55465007531588,0.733088849575386,0.463504240480286
"Strain064",1.35096217213597,5.27490019742136,0.256111418524353,0.797864805257727
"Strain065",3.84762154807618,4.64276455066024,0.828735014686242,0.407254367795187
"Strain067",2.8414646632711,10.1362035570496,0.280328295231886,0.779225644235687
"Strain068",4.31709545743043,5.66031617944112,0.76269510758261,0.445645248999701
"Strain069",2.33994139267855,5.1337164731514,0.455798719098748,0.648534725301321
"Strain070",3.32107796450603,4.30950968092014,0.770639402252586,0.440920699355875
"Strain071",3.20214509581026,5.10853128822848,0.626823036826438,0.530775241083768
"Strain072",2.88514933323077,5.17289244377339,0.557743924620667,0.577019258908067
"Strain073",3.07185273422712,7.08479010211447,0.433584155628028,0.664590442540041
"Strain074",1.08582269049888,5.12058695553817,0.212050434828474,0.832067687576412
"Strain075",2.10954262300286,4.30622667202641,0.489881927652952,0.62421745216557
"Strain076",3.03846705426259,4.63244609865902,0.655909856164792,0.511882126178139
"Strain077",3.19423435685314,4.19579076910141,0.761294957884002,0.446480911509871
"Strain078",2.80803308907823,4.44105456222314,0.632289707261007,0.527197588014077
"Strain079",1.95252135200645,4.59958224954013,0.424499714555962,0.671201413453099
"Strain080",3.75989092409958,4.82443338627667,0.779343525561938,0.435777381548669
"Strain081",3.1336044126651,9.58413218136831,0.326957553732082,0.743699989516785
"Strain082",4.67831885949612,8.02787714066207,0.582759150087129,0.560055448032286
"Strain083",4.46197518385359,5.67020007705338,0.786916708973051,0.431330625547344
"Strain084",3.96617213075064,4.3743371083172,0.906691009984007,0.364570218807438
"Strain085",3.62363227802382,4.42079262686539,0.819679316329568,0.412398944218203
"Strain086",4.57884733556347,5.82265994355697,0.78638412339882,0.431642481936807
"Strain087",3.64884753017135,4.69232594224184,0.777620219713052,0.436792937336549
"Strain088",2.35400515668332,4.39234573767312,0.535933484582743,0.592004521516157
"Strain089",2.16709672783799,6.98180409584149,0.310392084637373,0.756262812658246
"Strain090",5.15189395715132,4.94731702043093,1.0413510870388,0.297712634706821
