"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Nodule.area",1,21992889229091188,21992889229091188,15.6033477908767,0.000105765609542583
"Host",2,5665512222925464,2832756111462732,2.00976226240517,0.13651902215741
"Nodule.area:Host",2,3393424457111333,1696712228555666,1.20377048815253,0.302065530120823
"Residuals",216,304451591873206592,1409498110524104,NA,NA
"lobe_occ",1,20361223424065480,20361223424065480,14.6165173478251,0.000172361634023627
"Host1",2,8814982290456187,4407491145228094,3.16396365006583,0.0442232901683966
"lobe_occ:Host",2,5433082848135530,2716541424067765,1.95009769423,0.14475670125707
"Residuals1",216,300894129219677120,1393028376017024,NA,NA
"Nodule.lobes",1,20624205329568420,20624205329568420,14.5763830590594,0.000175833235902868
"Host2",2,6997548254411323,3498774127205662,2.47279694418864,0.0867336926554839
"Nodule.lobes:Host",2,2262064799993874,1131032399996937,0.799369539389064,0.450937846570445
"Residuals2",216,305619599398361216,1414905552770191,NA,NA
