"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"mean_prop_lobe",1,2481.88053230598,2481.88053230598,68.9103142883809,8.38950364852843e-15
"Strain",116,7316.77605385522,63.0756556366829,1.75131848503239,0.000165481134970719
"Residuals",233,8391.75049481379,36.0160965442652,NA,NA
"mean_prop_lobe1",1,2481.88053230598,2481.88053230598,92.5675662786004,1.27618179548185e-18
"Variety",2,2307.5529238291,1153.77646191455,43.0328042461138,1.36222319369168e-16
"Strain1",116,7226.1801237294,62.2946562390466,2.32342558199318,3.09890510365813e-08
"mean_prop_lobe:Variety",2,34.9470651838261,17.4735325919131,0.651716456641992,0.522114310449649
"Residuals1",229,6139.84643592667,26.8115564887627,NA,NA
"mean_nod_num",1,69.25414217916,69.25414217916,2.56104038794337,0.110905130158493
"Variety1",2,2126.0980040073,1063.04900200365,39.3118930193536,2.10321031639268e-15
"Strain2",116,9784.52753996548,84.34937534453,3.11926695151733,1.14384341989503e-13
"mean_nod_num:Variety",2,18.0445922526237,9.02229612631186,0.333647404247582,0.716653921658376
"Residuals2",229,6192.48280257043,27.0414096182115,NA,NA
