"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.00255493586259944,0.012498913395881,-0.204412638257132,0.838281460769288
"Nodule.lobes",0.0205550642943316,0.00541852269816859,3.7934812566678,0.000207780142130443
"HostS",0.000889484633140915,0.0168999047421373,0.0526325234794444,0.958087987164769
"HostV",0.0112039863848553,0.0161267896517362,0.694743754138884,0.488187162825659
"Strain012",0.00105196056477453,0.0192059898403461,0.054772525317319,0.956385554045848
"Strain044",-0.0138192822383974,0.0197527457132824,-0.699613230433316,0.485148088966035
"Strain059",0.0114817961734199,0.0239417279436115,0.479572577236793,0.632162578097315
"Strain070",0.0285794738602185,0.0179819978912578,1.58933807205666,0.113886842947732
"Strain077",-0.0109686829749843,0.0172541960554072,-0.635711043259352,0.525840200509331
"Strain112",0.00268485763358777,0.0182419157820501,0.147180683523912,0.883168011069134
"Strain117",-0.012383532180238,0.0203373277524631,-0.608906555028511,0.543418761504239
"repb",0.00744727871806002,0.00402127952467374,1.85196743284446,0.0658065689939715
"repc",0.00266408949781728,0.0041006892779471,0.649668706220769,0.516804211560245
"Nodule.lobes:HostS",-0.00423877015025771,0.00694007978408619,-0.610766775329779,0.542189349335852
"Nodule.lobes:HostV",-0.00713316351807824,0.00659957703808455,-1.08085161774982,0.281330884633828
"Nodule.lobes:Strain012",0.00739222689555474,0.00745773371478935,0.991216256608264,0.323022624650065
"Nodule.lobes:Strain044",0.0125727443463582,0.00740211582225573,1.69853385819175,0.0912805528660049
"Nodule.lobes:Strain059",-0.0138405072641391,0.0114623738852624,-1.20747302458301,0.228967643542617
"Nodule.lobes:Strain070",-0.0136403855890746,0.00812397663688435,-1.67902816548545,0.0950278740693541
"Nodule.lobes:Strain077",0.00759140854807793,0.00749451915778115,1.01292803290738,0.312568668619021
"Nodule.lobes:Strain112",0.00100290057440149,0.00685738844551812,0.146251095788073,0.883900623545039
"Nodule.lobes:Strain117",0.0118706288813841,0.00704995754237264,1.68378728666628,0.0941022991018027
"HostS:Strain012",-0.0226381208086929,0.028627964757663,-0.790769480133343,0.430206829379426
"HostV:Strain012",-0.00673045156104601,0.0225703836926706,-0.298198367058847,0.765924685133618
"HostS:Strain044",0.0130256432308001,0.0288390202120552,0.451667329022334,0.652098219654467
"HostV:Strain044",-0.00171656740111518,0.026015208598859,-0.0659832264881574,0.947470578899535
"HostS:Strain059",-0.00141271656804129,0.0351109765937744,-0.0402357526076839,0.967953525201243
"HostV:Strain059",-0.00557375972877285,0.0291256309005131,-0.191369579179645,0.848469922031785
"HostS:Strain070",-0.007063563741216,0.0247745362218616,-0.285113863604154,0.775912319531598
"HostV:Strain070",-0.0494701325456175,0.0263677124256549,-1.87616323126631,0.062388257622086
"HostS:Strain077",0.00592737046957386,0.0251223526321317,0.235940103077476,0.813769999237418
"HostV:Strain077",0.00107760666697705,0.0234501709809544,0.045953040933145,0.963402913167817
"HostS:Strain112",-0.00683586545437761,0.0258262517121316,-0.264686704465384,0.791579181601306
"HostV:Strain112",-0.023804511224751,0.0256500683384432,-0.928048647304142,0.354729773349826
"HostS:Strain117",0.00193261769959903,0.028914413234746,0.0668392501659565,0.946790109973773
"HostV:Strain117",-0.023005341152886,0.0279170917949735,-0.824059372725496,0.411088254490302
"Nodule.lobes:HostS:Strain012",0.00468451882164741,0.0120708440751471,0.388085438970456,0.69845002993892
"Nodule.lobes:HostS:Strain044",-0.0119717668960309,0.0104547515826375,-1.14510295164858,0.253814783359535
"Nodule.lobes:HostV:Strain044",0.000424007433172677,0.00956227492471511,0.0443416902892812,0.964685334536058
"Nodule.lobes:HostS:Strain059",0.0126733060260852,0.0153849875235364,0.82374496610395,0.41126640593122
"Nodule.lobes:HostV:Strain059",0.00881660715922898,0.0132125381332233,0.667290952754898,0.505512849953222
"Nodule.lobes:HostS:Strain070",0.0101505584003567,0.0109909114313464,0.923541097001929,0.357065763534544
"Nodule.lobes:HostV:Strain070",0.0280617431230233,0.0110007826690027,2.55088605668885,0.0116485688365711
"Nodule.lobes:HostS:Strain077",0.000232955277682226,0.0101081494669754,0.0230462834412294,0.981641033404731
"Nodule.lobes:HostV:Strain077",0.00108315004535655,0.00959890638431662,0.112840984377792,0.910292969124782
"Nodule.lobes:HostS:Strain112",0.0109883373198149,0.0111505700092673,0.985450726795343,0.325836874995314
"Nodule.lobes:HostV:Strain112",0.00979007561609308,0.0105881080604589,0.924629363451057,0.356500887604765
"Nodule.lobes:HostS:Strain117",0.00871034935619241,0.00985003957900392,0.884295873770817,0.377815511699612
"Nodule.lobes:HostV:Strain117",0.0148150915723424,0.00946234322385189,1.56568951493936,0.119325645142444
