"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",58.4705706336775,8.80942586427405,6.63727370370416,2.28673234325362e-10
"mean_prop_lobe",-38.3602059949076,11.4010464558073,-3.36462149712304,0.000898550241442424
"VarietyS",13.3220390332411,5.43925109845438,2.4492414106469,0.0150665316196438
"VarietyV",-0.861256724135109,5.74262278945236,-0.149976196541588,0.880915403404495
"Strain002",-12.6944596694332,10.2646444193262,-1.23671694321258,0.217459006195813
"Strain003",-12.137697225508,10.2646639579273,-1.18247390029113,0.238244008605829
"Strain004",-15.2190320675689,10.3360379214177,-1.47242417097106,0.14227940010478
"Strain005",-7.45572580809473,10.3141528889485,-0.72286361161889,0.470501299886031
"Strain006",-5.95263946676755,10.3265147078436,-0.576442259095043,0.56488243032104
"Strain007",1.35941151985003,10.3107315546045,0.131844332543306,0.895223184583669
"Strain008",-4.57444031063065,10.2694509297161,-0.445441566636622,0.656421479881666
"Strain009",-6.32253808823349,10.2995086043938,-0.613867935945628,0.539911917159487
"Strain010",-2.76426989282074,10.2952337998827,-0.268499962851959,0.788556224668823
"Strain011",-15.8311490237182,10.3170583161979,-1.5344634622122,0.126296082788123
"Strain012",1.34693596478552,10.4890044324262,0.128414090532896,0.897933984640086
"Strain013",22.0514683207773,10.3075217724412,2.13935694802367,0.0334647412345936
"Strain014",9.48251236739112,10.3615666433273,0.915162030396021,0.361069215498292
"Strain015",-4.1941783595409,10.3172076347207,-0.406522627830631,0.68473829342708
"Strain016",-10.7226635590789,10.3868347409633,-1.03233216148045,0.303005552528667
"Strain017",-6.5341301518906,10.2681315143066,-0.636350454100299,0.525183548075526
"Strain018",-4.20479078763565,10.3393366211715,-0.406678971939614,0.684623609116179
"Strain019",0.316615015048071,10.5533655259134,0.0300013312597422,0.97609212160359
"Strain020",-10.4929211461861,10.2849861580758,-1.0202173328106,0.308701987722847
"Strain021",-12.5697554406781,10.2660517328493,-1.22440016549473,0.222059402168778
"Strain022",-3.68236361639147,10.3095913617608,-0.357178426106168,0.721287169902771
"Strain023",-8.44043590227711,10.2716196916636,-0.821723949644216,0.412088722157132
"Strain024",-12.899273219299,10.2951517984579,-1.25294638406703,0.211503091694509
"Strain025",4.68724213015919,10.36680984724,0.452139298321083,0.651596615478527
"Strain026",-11.9576195025933,10.3004635200277,-1.16088169035728,0.246898715690569
"Strain028",-0.767361921937782,10.3190719502678,-0.0743634626869587,0.940786097925089
"Strain029",-5.10215944142579,10.4150601250432,-0.489882860028582,0.624685766997764
"Strain030",-0.225115361622172,10.2910974197403,-0.021874767329513,0.982566900888221
"Strain031",-0.00237312577377845,10.3096444192195,-0.000230185026493679,0.999816539316179
"Strain032",25.0383054559487,10.3224924233944,2.42560657145198,0.0160570810201004
"Strain033",15.8866824319274,10.3869971338586,1.52947788732333,0.127526156622964
"Strain034",0.405600913213209,10.2659626699714,0.039509291651685,0.968518768230023
"Strain035",14.9791162924559,10.4298786215522,1.43617359664217,0.152317597624571
"Strain037",9.59436981206332,10.3445266457695,0.927482729815095,0.354652450886423
"Strain038",-0.373531982599051,10.2706383723368,-0.036368915841213,0.971019882110958
"Strain039",18.7110493348419,10.3180983300511,1.81342033544559,0.0710760948297744
"Strain041",-11.1771592596419,10.273795803898,-1.08792888947638,0.277770182035062
"Strain042",-8.54710648220689,10.2973460435225,-0.830030033571939,0.407386252872911
"Strain043",-3.43254727882993,10.2614380727803,-0.334509379142011,0.73830138210061
"Strain044",-5.9700206689204,10.2807942399478,-0.580696445195144,0.562016077215698
"Strain045",-0.16722734441107,10.2642221863503,-0.0162922568680805,0.987015420358616
"Strain046",0.783930769348985,10.2778244276893,0.076273998925007,0.939267705826831
"Strain047",1.51540007246059,10.2689033961587,0.147571752698293,0.882810596442598
"Strain048",-7.05525538842029,10.3063202181847,-0.684556198435584,0.494316242520096
"Strain049",-9.27689293509483,10.2777207291783,-0.902621620059969,0.367675178434591
"Strain050",-8.05340057587751,10.3337840324486,-0.779327354876919,0.436591540047634
"Strain052",8.93626386665964,10.2948042320674,0.868036308920181,0.386283197634936
"Strain053",17.865928680868,10.2918254514902,1.73593389871192,0.0839205634997611
"Strain054",19.7039431658907,10.3408394293197,1.90544909826407,0.0579742581225668
"Strain055",-4.79751327058708,10.2620144723582,-0.467502095569021,0.640585251621856
"Strain056",-17.7293970129745,10.2877324169468,-1.72335324194175,0.086174444929575
"Strain057",12.6895152555423,10.2807873505344,1.234294108309,0.218358457043957
"Strain058",-8.46382042484515,10.2775684196694,-0.823523627305358,0.411067098561652
"Strain059",-3.51376392990856,10.3503466402087,-0.339482729617809,0.734557238958776
"Strain060",-7.43726515607122,10.3605483804758,-0.717844739771356,0.473584685944012
"Strain062",-7.08881730284025,10.3223755345996,-0.686742821851351,0.492939619658999
"Strain063",0.527408946242875,10.2678435040022,0.0513651134278879,0.959079359523237
"Strain064",-14.7926151054925,10.3500591270264,-1.42923000960117,0.15430083581373
"Strain065",-3.79395828292524,10.3429798136027,-0.36681482041912,0.714095865957364
"Strain067",-1.95340660411201,10.3236570712989,-0.189216533503688,0.850090705141816
"Strain068",-6.73890981634889,10.2738778276567,-0.655926606233151,0.512529823312868
"Strain069",1.91906874995217,10.3132451834304,0.186078069106261,0.852548264947351
"Strain070",1.7448143533716,10.2972906168835,0.169444023509524,0.865596982824272
"Strain071",-10.0238985304965,10.2691673962553,-0.976115993021182,0.330036990922704
"Strain072",-3.7416480655451,10.3336108086243,-0.362085251209805,0.717622231235076
"Strain073",-6.30967239785825,10.2713468986688,-0.614298442074425,0.539627949086241
"Strain074",1.75191684416563,10.3305642783083,0.16958578418066,0.865485616199861
"Strain075",6.1805346594467,10.2708068144888,0.601757463759121,0.547930874279729
"Strain076",15.6720570854919,10.4082378360232,1.50573587310337,0.133513077321405
"Strain077",2.5789575327262,10.3563717238871,0.249021336958948,0.803567477229324
"Strain078",-6.989992120375,10.3653946239444,-0.674358514458087,0.50076359448742
"Strain079",-1.07317939919623,10.3993445515873,-0.103196830711069,0.917897070002107
"Strain080",-3.33089178987334,10.279714586861,-0.324025707302295,0.74621432252009
"Strain081",-4.90503233276554,10.6889543198126,-0.458887949747692,0.646749877261092
"Strain082",8.20332239397715,10.4241330134689,0.786954884725447,0.432121945653016
"Strain083",-2.85319159814506,10.3010887399978,-0.276979615471759,0.782045610441025
"Strain084",-4.98996613326785,10.3013467926398,-0.484399392983561,0.628565412932061
"Strain085",7.17674788679669,10.3315098415393,0.694646571205071,0.487980982956075
"Strain086",-7.85369755029005,10.2820490240227,-0.76382611403047,0.445757125762301
"Strain087",11.6964959765677,10.3516700482995,1.12991390973566,0.259694613026463
"Strain088",7.51977498475675,10.281565399642,0.73138424864939,0.465292217677503
"Strain089",-7.9267494468506,10.3060125825922,-0.769138343595622,0.442603743363647
