"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.468961926027859,0.0869572113246526,5.39301938141739,9.31820227391608e-08
"as.factor(Strain)002",0.0280762160998134,0.149790411206671,0.187436671504131,0.851369445007759
"as.factor(Strain)003",-0.0534506706868922,0.132052338468794,-0.404768831106489,0.685763942921783
"as.factor(Strain)004",0.0395458897903351,0.122220630113879,0.323561494925106,0.746361092787256
"as.factor(Strain)005",-0.0695772615294691,0.132048324848025,-0.526907566677168,0.598415051091072
"as.factor(Strain)006",0.0109127188991143,0.12222063011388,0.0892870449853371,0.928877851096534
"as.factor(Strain)007",-0.149101888734343,0.122220630113878,-1.21994043555019,0.222874532550826
"as.factor(Strain)008",-0.00212016330834413,0.122220630113868,-0.0173470166727896,0.986164434375936
"as.factor(Strain)009",0.127976445870625,0.132050921506947,0.969144663363004,0.332788382173534
"as.factor(Strain)010",-0.162454086930483,0.149790411206658,-1.08454263274806,0.278476057578394
"as.factor(Strain)011",0.0955171119759859,0.122220630113875,0.781513823705469,0.434749300209687
"as.factor(Strain)012",-0.287304812031169,0.122220630113878,-2.35070635590305,0.0189982984461913
"as.factor(Strain)013",-0.0928129377472392,0.122220630113872,-0.759388473621563,0.447861061589582
"as.factor(Strain)014",-0.232663040964571,0.122220630113884,-1.90363149615394,0.0573443197858283
"as.factor(Strain)015",-0.225014218312863,0.122220630113885,-1.84104940469703,0.0660128353667655
"as.factor(Strain)016",-0.150372901765635,0.122220630113885,-1.23033976854413,0.218959279562744
"as.factor(Strain)017",0.00137732606995613,0.132052338468798,0.0104301528161242,0.991680892823294
"as.factor(Strain)018",-0.155643308828889,0.149789326387178,-1.03908143913125,0.299104878956346
"as.factor(Strain)019",-0.366223252119922,0.132050921506947,-2.77334870473172,0.00568736905012852
"as.factor(Strain)020",-0.139237309462142,0.122220630113875,-1.13922919013273,0.254974723683463
"as.factor(Strain)021",-0.0724375086869226,0.132054313843653,-0.548543296909526,0.583483691047374
"as.factor(Strain)022",-0.0491750477161697,0.122220630113872,-0.40234654059919,0.687544730077331
"as.factor(Strain)023",-0.0879718947713648,0.132052338468794,-0.666189601724878,0.505496703882081
"as.factor(Strain)024",-0.126294236563244,0.132054313843642,-0.95638099875163,0.339190849684993
"as.factor(Strain)025",-0.238859745972857,0.132052338468797,-1.80882632403589,0.0708820916753152
"as.factor(Strain)026",0.0827375760304543,0.122220630113886,0.676952622101184,0.498646716084249
"as.factor(Strain)028",-0.259177760244026,0.132048324848046,-1.9627493233426,0.050048046318877
"as.factor(Strain)029",-0.283875468532156,0.12222063011387,-2.32264772540999,0.0204673320184078
"as.factor(Strain)030",-0.0504903433203148,0.122220630113884,-0.413108190272529,0.679646539889064
"as.factor(Strain)031",0.0947428827664875,0.149790411206658,0.632502988697828,0.527252848298928
"as.factor(Strain)032",-0.0778596508571459,0.122220630113889,-0.637041805336743,0.524293841953585
"as.factor(Strain)033",-0.142292789243861,0.122220630113878,-1.16422889581964,0.244704956134661
"as.factor(Strain)034",-0.000198751444477931,0.122220630113883,-0.00162616936512877,0.998702941642333
"as.factor(Strain)035",-0.282951467378416,0.12222063011388,-2.31508761748956,0.0208797453652264
"as.factor(Strain)037",-0.0470485280308613,0.13205233846879,-0.356286973607674,0.721726809141901
"as.factor(Strain)038",-0.100493003669017,0.12222063011388,-0.822226195163474,0.411211952569556
"as.factor(Strain)039",0.0975795522099157,0.122220630113886,0.798388554526274,0.424900154006443
"as.factor(Strain)041",0.0596309596912405,0.132052338468789,0.451570645266039,0.651710100345523
"as.factor(Strain)042",-0.111503065104901,0.132050921506942,-0.844394448993221,0.39872081704173
"as.factor(Strain)043",0.0148885332607746,0.132052338468785,0.112747213971481,0.910261422843525
"as.factor(Strain)044",-0.0712191303064681,0.122220630113875,-0.582709565808262,0.560265628384246
"as.factor(Strain)045",0.0437482646315533,0.132050921506946,0.331298442542502,0.740512484557217
"as.factor(Strain)046",0.0566168865613347,0.132048324848052,0.42875883981477,0.668223012647475
"as.factor(Strain)047",-0.091059742803015,0.122220630113871,-0.745043964494178,0.456480742942104
"as.factor(Strain)048",-0.129356597755622,0.132052338468797,-0.979585816166279,0.327609456263733
"as.factor(Strain)049",-0.0669877732371753,0.132054313843645,-0.507274403140592,0.6121128227816
"as.factor(Strain)050",0.179494350505513,0.132050921506939,1.35928131706435,0.174469870940168
"as.factor(Strain)052",-0.0756415333003015,0.122220630113879,-0.618893334372624,0.536176328008803
"as.factor(Strain)053",-0.148282442873583,0.149790411206664,-0.989932811313268,0.322529225249907
"as.factor(Strain)054",-0.263251595906654,0.12222063011388,-2.15390475127944,0.0315686078576025
