"Strain","Variety","Source_variety","Rep","Rootweight_g","Shootweight_g","Nod_lobe","Nod_unlobed","Label","Nod_count","prop_lobe","Biomass_g"
"001","S","ON","a",0.3,0.324,8,12,"001_S_a",20,0.4,0.624
"001","V","ON","a",0.362,0.679,18,34,"001_V_a",52,0.346153846153846,1.041
"001","O","ON","a",0.033,0.108,8,22,"001_O_a",30,0.266666666666667,0.141
"001","O","ON","b",0.145,0.259,11,19,"001_O_b",30,0.366666666666667,0.404
"001","V","ON","b",0.094,0.187,11,22,"001_V_b",33,0.333333333333333,0.281
"001","S","ON","b",0.37,0.649,26,26,"001_S_b",52,0.5,1.019
"001","O","ON","c",0.469,0.395,46,11,"001_O_c",57,0.807017543859649,0.864
"001","S","ON","c",0.299,0.467,23,33,"001_S_c",56,0.410714285714286,0.766
"001","V","ON","c",0.284,0.366,52,8,"001_V_c",60,0.866666666666667,0.65
"001","O","ON","d",0.245,0.537,13,16,"001_O_d",29,0.448275862068966,0.782
"001","V","ON","d",0.373,0.444,16,21,"001_V_d",37,0.432432432432432,0.817
"002","S","ON","a",0.331,0.519,12,19,"002_S_a",31,0.387096774193548,0.85
"002","O","ON","a",0.59,0.646,15,21,"002_O_a",36,0.416666666666667,1.236
"002","V","ON","a",0.206,0.317,6,5,"002_V_a",11,0.545454545454545,0.523
"002","V","ON","b",0.158,0.346,9,4,"002_V_b",13,0.692307692307692,0.504
"002","O","ON","b",0.279,0.46,11,7,"002_O_b",18,0.611111111111111,0.739
"002","O","ON","c",0.248,0.501,19,31,"002_O_c",50,0.38,0.749
"002","V","ON","c",0.399,0.561,18,11,"002_V_c",29,0.620689655172414,0.96
"002","S","ON","c",0.218,0.444,27,64,"002_S_c",91,0.296703296703297,0.662
"002","O","ON","d",0.299,0.569,14,10,"002_O_d",24,0.583333333333333,0.868
"002","V","ON","d",0.262,0.417,11,20,"002_V_d",31,0.354838709677419,0.679
"002","S","ON","d",0.251,0.418,16,22,"002_S_d",38,0.421052631578947,0.669
"003","V","ON","a",0.157,0.284,7,12,"003_V_a",19,0.368421052631579,0.441
"003","O","ON","a",0.35,0.556,11,19,"003_O_a",30,0.366666666666667,0.906
"003","S","ON","a",0.346,0.453,15,21,"003_S_a",36,0.416666666666667,0.799
"003","S","ON","b",0.305,0.505,23,28,"003_S_b",51,0.450980392156863,0.81
"003","O","ON","b",0.121,0.301,17,26,"003_O_b",43,0.395348837209302,0.422
"003","V","ON","b",0.106,0.378,8,6,"003_V_b",14,0.571428571428571,0.484
"003","V","ON","c",0.308,0.461,15,13,"003_V_c",28,0.535714285714286,0.769
"003","O","ON","c",0.29,0.471,17,13,"003_O_c",30,0.566666666666667,0.761
"003","S","ON","c",0.345,0.33,11,8,"003_S_c",19,0.578947368421053,0.675
"003","S","ON","d",0.195,0.398,6,20,"003_S_d",26,0.230769230769231,0.593
"003","O","ON","d",0.568,0.444,11,26,"003_O_d",37,0.297297297297297,1.012
"003","V","ON","d",0.262,0.428,10,3,"003_V_d",13,0.769230769230769,0.69
"004","O","ON","a",0.458,0.51,38,27,"004_O_a",65,0.584615384615385,0.968
"004","S","ON","a",0.291,0.383,14,9,"004_S_a",23,0.608695652173913,0.674
"004","V","ON","a",0.181,0.239,7,21,"004_V_a",28,0.25,0.42
"004","V","ON","b",0.284,0.426,12,18,"004_V_b",30,0.4,0.71
"004","O","ON","b",0.266,0.45,14,17,"004_O_b",31,0.451612903225806,0.716
