"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.470375827456303,0.0852889698879972,5.51508393258833,4.83518826312564e-08
"as.factor(Strain)002",0.0291691088378654,0.14691143494156,0.198548934257355,0.842670657986745
"as.factor(Strain)003",-0.0529793702107988,0.129513221250257,-0.409065342513776,0.68261120236761
"as.factor(Strain)004",0.0395458897903158,0.119870289030693,0.329905684803932,0.741565486149893
"as.factor(Strain)005",-0.0687240565625497,0.129509463449825,-0.530648917321592,0.595822818738484
"as.factor(Strain)006",0.0109127188990818,0.119870289030698,0.0910377290930455,0.92748748386469
"as.factor(Strain)007",-0.149101888734371,0.119870289030677,-1.24386025878534,0.2139486308165
"as.factor(Strain)008",-0.00212016330837167,0.119870289030697,-0.0176871460435765,0.985893248146184
"as.factor(Strain)009",0.127851836062367,0.129512009780456,0.987181314529029,0.323879502005286
"as.factor(Strain)010",-0.161361194192439,0.146911434941566,-1.09835694040168,0.272409303427599
"as.factor(Strain)011",0.095517111975962,0.119870289030691,0.796837254238256,0.425803572674035
"as.factor(Strain)012",-0.287304812031226,0.119870289030694,-2.39679752467818,0.0167885475706314
"as.factor(Strain)013",-0.0928129377472821,0.119870289030689,-0.774278084234201,0.439016025170903
"as.factor(Strain)014",-0.232663040964593,0.11987028903069,-1.94095670283255,0.0526465355934429
"as.factor(Strain)015",-0.225014218312881,0.119870289030686,-1.8771475411666,0.0608948263003978
"as.factor(Strain)016",-0.150372901765658,0.119870289030694,-1.25446349534665,0.210073448089937
"as.factor(Strain)017",0.00184862654607435,0.129513221250256,0.0142736512012336,0.988615544803862
"as.factor(Strain)018",-0.155123272827066,0.146909949251626,-1.05590719769001,0.29135850430493
"as.factor(Strain)019",-0.366347861928169,0.129512009780453,-2.82867868817105,0.0048017150012723
"as.factor(Strain)020",-0.139237309462169,0.119870289030686,-1.16156647813309,0.245789703729894
"as.factor(Strain)021",-0.073637404321808,0.129515730660669,-0.5685595405761,0.569829230853588
"as.factor(Strain)022",-0.049175047716196,0.119870289030682,-0.410235498002421,0.681753079008931
"as.factor(Strain)023",-0.0875005942952496,0.129513221250253,-0.675611288566252,0.499500552230421
"as.factor(Strain)024",-0.127494132198131,0.12951573066066,-0.984391097110622,0.325248062202186
"as.factor(Strain)025",-0.238388445496744,0.129513221250259,-1.84064949659545,0.0660769672815297
"as.factor(Strain)026",0.0827375760304354,0.119870289030679,0.690225882489194,0.490270629417949
"as.factor(Strain)028",-0.258324555277105,0.129509463449819,-1.99463844877403,0.0464522234580912
"as.factor(Strain)029",-0.283875468532201,0.119870289030686,-2.3681887382413,0.0181339297800599
"as.factor(Strain)030",-0.0504903433203426,0.119870289030681,-0.421208155320452,0.673726568276917
"as.factor(Strain)031",0.0958357755045292,0.146911434941569,0.652337073303015,0.514388259653226
"as.factor(Strain)032",-0.0778596508571795,0.119870289030685,-0.649532519582469,0.516197715258318
"as.factor(Strain)033",-0.142292789243891,0.119870289030693,-1.18705636229388,0.235589946304092
"as.factor(Strain)034",-0.000198751444504444,0.11987028903069,-0.00165805426942416,0.998677515833123
"as.factor(Strain)035",-0.282951467378438,0.119870289030688,-2.36048039648925,0.0185122358442933
"as.factor(Strain)037",-0.0465772275547338,0.129513221250252,-0.359632994261913,0.719225190100149
"as.factor(Strain)038",-0.100493003669045,0.119870289030687,-0.838347888218731,0.402108638205702
"as.factor(Strain)039",-0.0444744855850005,0.129512009780458,-0.343400474291083,0.731395672087022
"as.factor(Strain)041",0.0601022601673565,0.129513221250258,0.464062738824333,0.642740582113709
"as.factor(Strain)042",-0.11162767491316,0.129512009780449,-0.861909834480931,0.389019013271354
"as.factor(Strain)043",0.0153598337368811,0.129513221250264,0.11859664664815,0.905627414848195
"as.factor(Strain)044",-0.0712191303065066,0.119870289030692,-0.594134967742267,0.552605162667273
"as.factor(Strain)045",0.0436236548232967,0.129512009780443,0.336830961833194,0.736340746067299
"as.factor(Strain)046",0.0574700915282644,0.129509463449813,0.443752062570586,0.657352808429731
"as.factor(Strain)047",-0.0910597428030442,0.119870289030689,-0.759652317011862,0.447706676008111
"as.factor(Strain)048",-0.128885297279508,0.129513221250257,-0.995151661238229,0.319990901870037
"as.factor(Strain)049",-0.0681876688720589,0.129515730660664,-0.526481752635233,0.598712795195649
"as.factor(Strain)050",0.179369740697256,0.129512009780449,1.38496608153426,0.166484203391805
"as.factor(Strain)052",-0.0756415333003276,0.119870289030687,-0.631028204837008,0.528218790457854
"as.factor(Strain)053",-0.14937533561169,0.146911434941566,-1.01677133349833,0.309597705521054
"as.factor(Strain)054",-0.263251595906682,0.119870289030689,-2.19613715821845,0.0283946617369178
"as.factor(Strain)055",0.00093505187919788,0.119870289030689,0.00780053078005419,0.993778262501907
"as.factor(Strain)056",0.201675380102924,0.119870289030692,1.68244676586445,0.0929081226334277
"as.factor(Strain)057",0.175397844212934,0.129513221250253,1.35428524223036,0.17606272526585
"as.factor(Strain)058",-0.0968815747714619,0.119870289030683,-0.808220081513804,0.419226119339207
"as.factor(Strain)059",-0.183793854125092,0.146911434941562,-1.25105206547198,0.21131463463905
"as.factor(Strain)060",-0.0278511292599238,0.119870289030683,-0.23234389009269,0.816335780356289
"as.factor(Strain)062",-0.148964071460088,0.129512009780453,-1.15019504146843,0.250438653995492
"as.factor(Strain)063",-0.0782630066545622,0.119870289030689,-0.652897455136072,0.514027106278283
"as.factor(Strain)064",-0.120024650183447,0.119870289030683,-1.0012877348842,0.31701814292102
"as.factor(Strain)065",-0.0165830917418833,0.119870289030693,-0.138341968439212,0.890008153855212
"as.factor(Strain)067",-0.183830425349947,0.11987028903069,-1.53357789354192,0.125565010731676
"as.factor(Strain)068",-0.0866588493176455,0.119870289030685,-0.722938519781678,0.469948262249
"as.factor(Strain)069",-0.199124483175287,0.119870289030686,-1.6611662888734,0.0971076734786829
